mood,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Frantic,Los Angeles,College Rock,Various Artists,2K0vkBQ6rzo5plYnxbxmvx,2017-02-16,8,144786,0.614,0.0162,0.755,1.9e-06,0.0831,0.645,-5.829,0.0276,92.622,2,4
Frantic,We Will Not,Live at CBGB 1982,Bad Brains,4kKBFeGFI38KSncV9aUQVQ,2006-10-31,13,103413,0.303,8.56e-05,0.932,0.853,0.588,0.173,-11.254,0.118,89.621,11,4
Frantic,John Wayne Was a Nazi - Millions of Dead Cops - Full Length,Millions of Dead Cops - Millennium Edition (Remastered),MDC,6ol8De5EwonNljqfnFoeWE,1980,34,120856,0.454,0.0071,0.957,0.0,0.175,0.219,-4.684,0.307,70.898,0,4
Frantic,Victim In Pain,Victim In Pain,Agnostic Front,0rcILXzric3w3sVULj5iMk,1984,0,48461,0.377,0.0147,0.992,2.47e-05,0.084,0.195,-5.924,0.148,100.93,4,4
Frantic,In My Eyes,First Two Seven Inches,Minor Threat,4svLdyGQQfbSmucvHtdReA,1984-06-01,20,169320,0.275,0.0343,0.958,0.009,0.0554,0.446,-5.86,0.144,161.612,7,4
Frantic,Plans I Make,New Day Rising,Hüsker Dü,2e82cNCT1uXi1rZvhKIsYM,1985-01-01,19,262026,0.197,0.0378,0.988,0.919,0.383,0.0351,-11.167,0.112,122.491,9,4
Frantic,Subliminal,Suicidal Tendencies,Suicidal Tendencies,2zeAo1ddhjm1TioD77dDSV,1983,53,188133,0.467,0.0181,0.885,0.0,0.364,0.452,-8.226,0.0446,94.397,9,4
Frantic,Wasted,Nervous Breakdown,Black Flag,4nrsxlCHeaa8NLrfhCI05b,2006-01-24,42,51373,0.46,0.645,0.941,0.0,0.392,0.168,-10.884,0.0764,91.414,0,4
Frantic,Re-Ignition,I Against I,Bad Brains,5flccuB88UqMqTO6XVXiv8,1986,42,256333,0.417,0.0132,0.771,0.00198,0.0995,0.471,-13.711,0.0809,177.487,0,4
Frantic,Hate Breeders,Collection 2,Misfits,7bRiXxZz9th7OCT4dtzV7Y,1995-01-01,31,165706,0.297,0.0876,0.959,0.0,0.166,0.117,-6.508,0.176,121.945,11,4
Frantic,Kill the Poor (Single Version),Fresh Fruit for Rotting Vegetables,Dead Kennedys,5uBvwCuDzKG2rTWNsqzyrG,1980-01-01,5,187026,0.364,0.112,0.957,3.17e-06,0.146,0.582,-3.787,0.0524,105.712,2,4
Frantic,It Follows,Out of Step,Minor Threat,6GvyAwquB9ocJ1hbD6CyCB,1983,18,110560,0.341,0.000748,0.972,0.00821,0.18,0.388,-6.507,0.152,178.792,9,4
Frantic,In My Head,In My Head,Black Flag,37zwBGTBNiAXxCaPkJWZMp,2006-01-24,26,278626,0.247,0.00139,0.706,1.31e-05,0.18,0.47,-14.902,0.0863,147.254,2,1
Frantic,Don't Need It,Bad Brains,Bad Brains,26eKJASmShZmCHnEcMOQ0e,1982,0,67293,0.186,0.00729,0.934,0.00745,0.197,0.138,-10.627,0.0603,168.482,2,4
Frantic,The Eliminator,Cause for Alarm,Agnostic Front,2aGAeHi05q1O93dpPt1vSa,1986,32,191560,0.204,3.66e-05,0.94,0.00238,0.59,0.244,-7.623,0.164,96.952,11,4
Frantic,Start Today,Start Today,Gorilla Biscuits,1izvrCbd0C75ScVDI6uVOl,1989-07-14,45,123706,0.53,0.000178,0.944,0.00156,0.0529,0.431,-6.321,0.0611,106.908,11,4
Frantic,Break Down the Walls,Break Down The Walls,Youth Of Today,32dTnE7cWjEHCUAjSEvpiM,1986,34,124373,0.391,0.00373,0.973,0.334,0.0619,0.303,-5.745,0.107,141.671,9,4
Frantic,Alcohol,Another Wasted Night,Gang Green,3VLCU9gSkSHgmgXaLQ4I8I,1986,39,132426,0.45,0.000156,0.837,2.41e-05,0.334,0.423,-14.345,0.0477,109.575,11,4
Frantic,Q: And Children A: And Children,Hear Nothing See Nothing Say Nothing,Discharge,1XbnGXcgeka1TPzCww7Z4w,1982-05-21,23,106866,0.169,1.65e-06,0.941,0.0488,0.148,0.247,-9.881,0.0974,161.522,11,4
