mood,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Exuberence,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,4iJyoBOLtHqaGxP12qzhQI,2021-03-19,87,198081,0.677,0.321,0.696,0.0,0.42,0.464,-6.181,0.119,90.03,0,4
Exuberence,Tangerine Skies,Tangerine Skies,Declan J Donovan,2VvHa9p1kkTmaCMq0exODA,2020-04-24,60,192000,0.756,0.0578,0.815,2e-05,0.387,0.927,-5.122,0.046,120.002,6,4
Exuberence,Way Less Sad,Way Less Sad,AJR,3cwaaelWghY5W6Lsj1K8ss,2021-02-17,38,206108,0.701,0.00843,0.547,0.0,0.0987,0.4,-8.238,0.0483,140.015,2,4
Exuberence,Just Friends,Just Friends,Virginia To Vegas,02Ygu8lo3qSknRpcBnspso,2019-05-24,65,168946,0.793,0.156,0.714,0.0,0.136,0.794,-7.562,0.193,100.036,7,4
Exuberence,I Don't Know Why,I Don't Know Why,NOTD,0ZXdzaT1k688dkpNeEgQiV,2020-05-08,71,207667,0.499,0.124,0.898,7.2e-06,0.0832,0.618,-4.181,0.124,120.04,8,4
Exuberence,Be Like That - feat. Swae Lee & Khalid,Be Like That (feat. Swae Lee & Khalid),Kane Brown,5f1joOtoMeyppIcJGZQvqJ,2020-07-10,77,191406,0.727,0.0469,0.626,2.58e-05,0.126,0.322,-8.415,0.0726,86.97,7,4
Exuberence,Be Kind,Be Kind,Zak Abel,5pE4OLVJh5rjaLERbUgBB2,2021-02-25,63,181516,0.929,0.068,0.67,0.0,0.318,0.938,-3.977,0.0488,120.935,8,4
Exuberence,Missing Piece,Missing Piece,Vance Joy,5YqdiryRmdAzYFlxo43hAJ,2021-05-19,74,217408,0.628,0.0155,0.877,5.97e-06,0.113,0.721,-4.205,0.046,101.992,0,4
Exuberence,Freedom,Freedom,Kygo,5Gj1wG8b12VQdEd3hUuSwo,2020-04-17,66,198635,0.715,0.127,0.635,0.0,0.0862,0.39,-6.591,0.0791,112.887,7,4
Exuberence,The Best Days (feat. Tabitha),The Best Days (feat. Tabitha),Sam Feldt,140XpWSdJ0jZEbLj9iVnPA,2020-11-20,65,161944,0.667,0.0863,0.827,0.0,0.0565,0.573,-5.631,0.0368,107.95,11,4
Exuberence,Hold On Tight,Hold On Tight,Aloe Blacc,2xytFpmHqcz6UHp1sh0SoR,2020-09-04,0,228120,0.722,0.0264,0.59,0.0,0.0793,0.368,-7.512,0.0435,104.931,2,4
Exuberence,Lean On Me,Lean On Me,Sandro Cavazza,43Hit5V2BpPq2vxvca3ysc,2020-10-09,66,182497,0.799,0.412,0.419,0.0,0.203,0.716,-7.99,0.174,156.055,6,4
Exuberence,On Me (feat. Ava Max),SCOOB! The Album,Various Artists,7k6tAZp4m93oswrPqSfBbc,2020-05-15,61,164683,0.548,0.0119,0.721,0.0,0.216,0.594,-4.466,0.0472,177.918,8,4
Exuberence,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,6FuGJB290AQMAHTfjOYVaK,2020-11-06,73,192745,0.721,0.151,0.745,1.24e-06,0.372,0.699,-3.508,0.0366,90.988,7,4
Exuberence,Someone,Strawtown,Jubël,68zNuCEl9UHTbcBltW2uDv,2020-03-27,61,181101,0.7,0.0531,0.904,8.03e-06,0.105,0.347,-4.03,0.0431,103.039,2,4
Exuberence,Fool,Fitz and The Tantrums (Deluxe Edition),Fitz and The Tantrums,7rt7ywY9yekwaYXk2Zt4Q5,2017-07-24,54,189136,0.683,0.0499,0.833,0.000858,0.161,0.537,-3.324,0.0595,136.099,8,4
Exuberence,Haven't Met You Yet,Crazy Love,Michael Bublé,4fIWvT19w9PR0VVBuPYpWA,2009-10-06,71,244586,0.615,0.152,0.733,0.0,0.109,0.796,-4.808,0.0335,122.58,8,4
Exuberence,One Foot,What If Nothing,WALK THE MOON,0iQ77tSa7ncj7zBPtVx6cU,2017-11-10,63,261372,0.582,0.00749,0.822,2.09e-06,0.818,0.471,-4.861,0.0365,100.025,0,4
Exuberence,All Night,What If Nothing,WALK THE MOON,53Y3z7kPzelQbBnhysjzlw,2017-11-10,49,222573,0.57,0.0299,0.83,0.0,0.148,0.765,-5.096,0.0579,155.014,1,4
Exuberence,Always Been You,Always Been You,Quinn XCII,76WepEyeRZgdtY6ixD5SyQ,2017-08-25,0,235720,0.731,0.334,0.588,0.0,0.278,0.449,-5.217,0.0749,80.019,3,4
Exuberence,What We've Got - Remix,What We've Got (Remix),Manatee Commune,7DhjwYugMKmwo4szfOzIfH,2016-10-21,0,240000,0.749,0.236,0.577,1.66e-05,0.676,0.629,-6.123,0.34,150.07,4,4
Exuberence,B-A-B-Y,Carla,Carla Thomas,35w6fQ0Wnuv7aIryRx7gTq,1966,56,177000,0.74,0.428,0.301,0.0,0.0782,0.669,-11.975,0.0467,113.61,8,4
Exuberence,Electric Love,Dopamine,BØRNS,0BRbWiAn3TVprsotudFRvZ,2015-10-16,0,218106,0.611,0.00431,0.804,0.000633,0.2,0.536,-7.592,0.0545,120.032,6,4
Exuberence,Waterfalls,Waterfalls,Luke Christopher,6g5TQGAzfX3VN2PPbfVfvL,2017-06-23,34,198142,0.567,0.046,0.714,0.0,0.0871,0.292,-5.577,0.138,149.108,6,4
Exuberence,What Lovers Do (feat. SZA),What Lovers Do (feat. SZA),Maroon 5,4mxWSdf71VFO52qFeY0fZt,2017-08-30,0,199849,0.795,0.0767,0.608,2.92e-06,0.0853,0.386,-5.222,0.0694,110.001,5,4
Exuberence,New Orleans,Wide Awake,Parachute,7wPSzISlWhkD0DGxrYvbM2,2016-03-11,0,246146,0.59,0.0312,0.754,0.0,0.367,0.121,-6.539,0.039,127.082,9,4
Exuberence,Dancing in the Moonlight,Onka's Big Moka,Toploader,3Fzlg5r1IjhLk2qRw667od,2000,78,232693,0.632,0.0624,0.856,0.0,0.347,0.867,-3.463,0.0348,119.397,10,4
Exuberence,Shut Up and Dance,TALKING IS HARD (Expanded Edition),WALK THE MOON,0kzw2tRyuL9rzipi5ntlIy,2014-12-02,65,199080,0.578,0.00701,0.866,0.0,0.257,0.619,-3.804,0.0619,128.038,1,4
Exuberence,Sundown Syndrome,Sundown Syndrome / Remember Me,Tame Impala,04s46zhESDMuqdH7hPV5pZ,2009-01-01,0,349333,0.2,0.0952,0.725,0.494,0.135,0.326,-4.88,0.0377,69.075,8,4
Exuberence,waves - Tame Impala Remix,Rogue Waves,Miguel,3lB0GMiI5KxDbTOG8V3bOx,2016-02-26,68,253346,0.529,0.308,0.894,5.38e-06,0.254,0.543,-3.599,0.0412,108.024,2,4
Exuberence,Violet,Disappear Here,Bad Suns,6ptZoAdbOPkBZ4ObIHZvGh,2016-09-16,0,198400,0.676,0.00829,0.882,0.0,0.051,0.749,-4.424,0.0391,103.037,1,4
Exuberence,High You Are,High You Are (Remixes),What So Not,6zpCJDhdpHPZCcFCJZDqX5,2013-10-08,0,213340,0.69,0.0557,0.857,0.11,0.0341,0.409,-5.613,0.0405,136.99,10,4
Exuberence,My My My!,My My My!,Troye Sivan,2Tq2R8sRftNEqdgJK5HadO,2018-01-11,0,204726,0.699,0.00433,0.479,9.58e-05,0.0435,0.462,-7.83,0.0919,102.959,1,4
Exuberence,Not Going Home,Not Going Home,DVBBS,2PuHj0tUOKud6fVKTZUXRO,2016-11-18,0,194960,0.749,0.0938,0.747,1.17e-05,0.256,0.475,-6.457,0.121,109.063,6,4
Exuberence,Focus (feat. L Marshall),Focus (feat. L Marshall),Life of Dillon,7wB9B1pIfE2kH0PvBMVgMQ,2017-03-24,38,210559,0.616,0.153,0.788,0.0,0.198,0.544,-3.208,0.192,172.827,6,4
Exuberence,One More Weekend,One More Weekend,Audien,0dzKKW6FzIT7C38BdQBbgw,2017-03-31,52,200586,0.667,0.387,0.899,0.0,0.0712,0.389,-2.144,0.0411,110.005,2,4
Exuberence,Mine,Mine,Bazzi,6tHWl8ows5JOZq9Yfaqn3M,2017-10-12,0,133994,0.716,0.014,0.805,3.1e-06,0.291,0.719,-3.839,0.0856,142.886,4,4
Exuberence,More Than You Know,More Than You Know,Axwell /\ Ingrosso,71bBFbfn2OBK5QwUJSLS44,2017-07-28,0,203000,0.642,0.0274,0.733,0.0,0.266,0.519,-5.001,0.0343,123.075,5,4
Exuberence,Soarin,COSMIC,Bazzi,4pabDIdwjv80lbsx7XcNwZ,2018-04-12,53,177104,0.45,0.0635,0.674,0.0,0.381,0.211,-5.268,0.0332,76.882,0,4
Exuberence,Paradise,Soul Searching,Bazzi,0Rx0DJI556Ix5gBny6EWmn,2019-08-09,76,169038,0.844,0.0828,0.644,0.0,0.113,0.591,-6.273,0.0479,122.061,11,4
Exuberence,Young & Alive,Young & Alive,Bazzi,5RsKelNxucrDxgMbZ3vd3W,2020-03-05,67,160465,0.716,0.326,0.563,0.0,0.119,0.495,-5.486,0.0425,86.005,3,4
Exuberence,3:15,COSMIC,Bazzi,6pmZMP2ET1OJi5rKfLO8jD,2018-04-12,67,167018,0.651,0.385,0.654,0.0,0.181,0.539,-5.481,0.0466,141.975,1,4
Exuberence,Star,COSMIC,Bazzi,2JuIs3XJlYPy8vBO66CEkJ,2018-04-12,59,169872,0.694,0.3,0.389,0.0,0.158,0.409,-5.41,0.0706,90.984,8,4
Exuberence,New Light,New Light,John Mayer,3bH4HzoZZFq8UpZmI2AMgV,2018-05-10,5,216014,0.828,0.325,0.689,0.0384,0.0808,0.853,-7.878,0.0326,123.931,7,4
Exuberence,Bloom,Bloom,Troye Sivan,1hSOt9IeshMkuKP9ri4hOf,2018-05-02,0,222096,0.708,0.031,0.701,0.0,0.392,0.504,-5.196,0.0328,120.932,0,4
Exuberence,Let Me,Let Me,ZAYN,7Fg342AJtNsIDdwCfX0paC,2018-04-12,0,185702,0.46,0.239,0.567,6.04e-06,0.0934,0.189,-5.637,0.0515,168.419,9,4
Exuberence,Nevermind,Nevermind,Dennis Lloyd,63SevszngYpZOwf63o61K4,2017-06-30,76,156600,0.6,0.159,0.688,1.29e-05,0.409,0.0793,-8.339,0.201,99.977,5,4
Exuberence,8TEEN,American Teen,Khalid,5bgwqaRSS3M8WHWruHgSL5,2017-04-27,78,228600,0.83,0.225,0.585,0.00209,0.0576,0.642,-5.802,0.0366,105.03,1,4
Exuberence,Another Sad Love Song,American Teen,Khalid,52Qu0no0NBho3zyRmjlsHn,2017-04-27,65,244746,0.834,0.412,0.472,6.76e-05,0.0836,0.517,-7.777,0.0873,107.014,5,4
Exuberence,Sangria Wine,Sangria Wine,Pharrell Williams,6XlSyYFTU1nodeWwwzVgTV,2018-05-18,58,202853,0.831,0.181,0.713,0.0,0.0572,0.69,-3.646,0.094,132.109,1,4
Exuberence,iMissMe (feat. Khalid),Light of Mine,KYLE,7EXHUG8EomBQs9Bg6CrJC3,2018-05-18,42,189693,0.847,0.0639,0.699,0.0,0.321,0.845,-5.595,0.19,113.959,5,4
Exuberence,If You're Over Me,If You're Over Me,Years & Years,01k24g94i1JvkFLQmVEdCd,2018-05-10,57,189000,0.647,0.0615,0.853,0.0,0.062,0.618,-4.516,0.0904,103.846,8,4
Exuberence,imagine if,imagine if,Garrett Nash,12gnUTEnxL6PYN06RX2Je1,2018-06-08,0,197216,0.907,0.568,0.452,0.0,0.244,0.691,-6.673,0.187,92.063,8,4
Exuberence,Have It All - Acoustic,Have It All (Acoustic),Jason Mraz,224gXcCGXI5YpFlGsWVTs0,2018-05-25,48,225148,0.726,0.474,0.498,0.0,0.0602,0.779,-4.924,0.0467,82.046,1,4
Exuberence,Peach Jam,Peach Jam,88rising,0g1ubvq5Ynq27vMyy2iql3,2018-07-17,0,161713,0.857,0.0175,0.668,0.000595,0.101,0.624,-6.816,0.052,89.986,7,4
Exuberence,Dopamine,Dopamine,BØRNS,62ZXL1CWLJDiDWUZUhfLfU,2015-10-16,58,224373,0.551,0.0155,0.813,5.82e-06,0.105,0.568,-4.25,0.0621,97.557,5,4
Exuberence,Ophelia,Cleopatra,The Lumineers,5NORWMFC27ywGSZxi8uquP,2016-04-08,78,160097,0.664,0.613,0.573,0.000363,0.0857,0.566,-6.519,0.0277,76.023,5,4
Exuberence,Life Goes On,Life Goes On,Bryce Vine,7HbKIvZWeJPD6JmxQymOZ8,2020-07-31,46,201856,0.828,0.625,0.617,0.000212,0.137,0.933,-9.005,0.0501,105.981,4,4
Exuberence,Backyard Boy,BeVerly Hills BoYfRiEnd,Claire Rosinkranz,0y9fkzOaaQy4Up22BGUbIp,2020-06-08,0,129240,0.819,0.336,0.642,0.0,0.0735,0.452,-7.037,0.189,138.026,5,4
Exuberence,Cemetery,Dreamland,COIN,5czZkLGepjburbkbEaCfm4,2020-02-21,59,177106,0.652,0.124,0.8,1.87e-05,0.121,0.933,-7.37,0.0313,126.985,9,4
Exuberence,Runaway Baby,Doo-Wops & Hooligans,Bruno Mars,7hCNBVRhHzcsRAv0TQnOzq,2010-10-05,72,148448,0.658,0.263,0.762,0.0,0.127,0.823,-3.028,0.0425,163.864,10,4
Exuberence,peanut butter,see you later maybe never (demos),easy life,4K9Jh6jnw0P4FZUwrG6Keb,2020-05-29,54,160656,0.667,0.703,0.466,0.0,0.0807,0.819,-7.565,0.176,85.949,6,4
Exuberence,All The Time,Bahamas Is Afie,Bahamas,0qI1W6chJgvrSAzAkX9JBa,2014-08-19,63,234973,0.711,0.648,0.464,0.00373,0.0846,0.507,-4.816,0.0488,127.274,4,4
Exuberence,Ride with Me,Ride with Me,Pink Sweat$,7myHieI8mFicl4gaFlo6DS,2020-04-10,50,165114,0.726,0.0294,0.775,0.0,0.102,0.65,-4.661,0.0542,102.995,0,4
Exuberence,Honey In The Summer,Honey In The Summer,PUBLIC,69KERH8EU5P2VwxWlmOVcU,2020-05-08,55,200000,0.784,0.0192,0.589,8.35e-05,0.221,0.725,-7.546,0.0378,114.066,8,4
Exuberence,I Feel Good About This,I Was Starting to Wonder,The Mowgli's,7d06uajfr1DZUeKVCaE9BS,2018-08-17,63,201527,0.525,0.00428,0.841,0.0,0.146,0.495,-6.053,0.0419,119.864,7,4
Exuberence,When We Were Young,When We Were Young,Lost Kings,4mEILaBM7bKZqKAun5tABu,2018-05-11,62,193911,0.547,0.00871,0.789,0.0,0.1,0.345,-5.619,0.042,129.916,8,4
Exuberence,Last Call,Last Call,Hudson Thames,5j0ZoiJoX24rXVrLKRBr11,2018-10-12,49,216346,0.658,0.191,0.72,0.0,0.356,0.548,-6.075,0.0298,140.864,5,4
Exuberence,Brooklyn In The Summer,Brooklyn In The Summer,Aloe Blacc,5bTysxqGHXdSGiZVgljzCY,2018-05-11,56,208214,0.656,0.0914,0.514,0.0,0.058,0.818,-5.27,0.0672,120.073,5,4
Exuberence,Rum n Tequila,if we never met,John K,3kSmaObYtsjFbusk0HBBuX,2019-04-26,59,137720,0.611,0.117,0.699,0.0,0.0632,0.749,-5.183,0.0365,154.77,9,4
Exuberence,Cool Again,Lenses,Shoffy,4CFJuKGq5CiGF95M2Jrw3S,2018-11-16,60,191935,0.803,0.443,0.449,3.32e-05,0.127,0.655,-6.861,0.0745,90.077,11,4
Exuberence,SUPERBLOOM,SUPERBLOOM,MisterWives,2HvtedoEeymVWrBPyAMNwZ,2020-07-24,71,213546,0.558,0.191,0.889,0.000387,0.328,0.716,-3.945,0.102,170.102,8,4
Exuberence,Candle,The Story of Us (Deluxe),Quinn XCII,0XNu9Mqd7TLnKRNVHpe6T5,2018-02-16,52,214520,0.77,0.124,0.703,0.0,0.0626,0.873,-6.032,0.0358,94.959,3,4
Exuberence,Coffee (feat. Marc E. Bassy),A Letter To My Younger Self,Quinn XCII,4CxmynXhw78QefruycvxG8,2020-07-10,63,180053,0.831,0.0803,0.452,0.0,0.359,0.534,-5.111,0.047,93.04,5,4
Exuberence,Another Day in Paradise,Change of Scenery,Quinn XCII,0cTmZAWgUFAPQXj2ZNgU8T,2015-04-28,64,255000,0.653,0.161,0.802,0.0,0.143,0.56,-5.308,0.0666,167.952,11,5
Exuberence,Bootleggin',Bloom,Quinn XCII,7chGcwxCmhTxcVFGLmAqIh,2016-03-11,48,203500,0.825,0.12,0.504,0.0,0.148,0.476,-6.026,0.052,123.973,0,4
Exuberence,Bones,Bloom,Quinn XCII,1TATUVQu9PnxtKItMjOUp5,2016-03-11,38,222000,0.761,0.0113,0.745,0.0,0.383,0.499,-7.672,0.033,94.006,2,4
Exuberence,Native Tongue,Change of Scenery,Quinn XCII,3VcH5dZY7O4yLePLJYUkDq,2015-04-28,48,178000,0.59,0.372,0.671,0.0,0.0795,0.26,-4.97,0.0722,135.088,11,4
Exuberence,Demon,Change of Scenery,Quinn XCII,4rZRg24LKa0DxKB98nRZne,2015-04-28,44,200000,0.801,0.192,0.631,0.0,0.338,0.584,-4.999,0.0477,93.013,3,4
Exuberence,Good Day,Scaled And Icy,Twenty One Pilots,3uwYgNxFDfx1GoLB6tLoUn,2021-05-21,63,204400,0.684,0.11,0.677,0.00975,0.34,0.37,-7.355,0.0401,142.048,7,4
Exuberence,Never Take It,Scaled And Icy,Twenty One Pilots,1edgaGx2x2AQeWtL2OPEMW,2021-05-21,60,212706,0.747,0.00997,0.733,0.0043,0.0703,0.775,-5.724,0.0278,117.973,9,4
Exuberence,Jealousy (feat. blackbear),Jealousy (feat. blackbear),Mike Posner,3MxvnLsw2nx9W12svVvmyr,2021-05-21,55,211694,0.827,0.0237,0.605,1.68e-05,0.111,0.938,-6.194,0.0509,107.947,4,4
Exuberence,Take It Easy,Horizons,Surfaces,5Pgq1Gfeth2CuUhyCXwlfC,2020-02-28,63,212849,0.765,0.236,0.689,7.39e-06,0.114,0.497,-5.616,0.0456,144.958,6,4
Exuberence,Good Time,Good Time,Ocean Park Standoff,7cPKQeCtGjRjoFVw6ub5rS,2019-02-08,57,172944,0.708,0.0106,0.62,6.08e-06,0.354,0.912,-5.903,0.125,145.073,8,4
