mood,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Depression,I'm Not Enough and I'm Sorry,I'm Not Enough and I'm Sorry,Teqkoi,4P1L6AniTDJzANaubzWGYs,2018-10-27,65,120000,0.698,0.462,0.183,0.000424,0.335,0.244,-20.188,0.299,143.96,8,4
Depression,So Alone,So Alone,Sik World,1BZRU1HxYxJD0NFBrGk3C3,2014-11-25,46,237346,0.895,0.199,0.546,0.0,0.13,0.249,-9.242,0.0629,120.076,2,4
Depression,Tear Me Apart,Still Lost,Sik World,1d648Lemp74K5lEf7pbwJE,2017-12-11,48,208303,0.662,0.391,0.446,0.000121,0.0978,0.207,-10.813,0.276,140.194,7,4
Depression,Jocelyn Flores,17,XXXTENTACION,7m9OqQk4RVRkw9JJdeAw96,2017-08-25,85,119133,0.872,0.469,0.391,4.13e-06,0.297,0.437,-9.144,0.242,134.021,0,4
Depression,Before You Go,Before You Go,Lewis Capaldi,7ce20yLkzuXXLUhzIDoZih,2019-11-19,75,215106,0.459,0.604,0.575,0.0,0.0885,0.183,-4.858,0.0573,111.881,3,4
Depression,Wrong Direction,Wrong Direction,Hailee Steinfeld,7GCVboEDzfL3NKp1NrAgHR,2020-01-01,0,248986,0.378,0.472,0.388,0.0,0.157,0.188,-9.017,0.036,72.293,10,4
Depression,i thought about taking my life last night,i gave you everything i had.,eli.,0AqWGyMqgUxpbyzNUaWy9a,2020-11-13,36,134505,0.664,0.0509,0.637,0.0,0.32,0.227,-7.048,0.141,182.084,7,4
Depression,You Are The Reason,You Are The Reason,Calum Scott,2d3NAGCKudIYpTlRI6BI0s,2017-11-17,0,204326,0.363,0.908,0.233,0.0,0.134,0.246,-7.697,0.0299,171.767,10,3
Depression,Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,4Of7rzpRpV1mWRbhp5rAqG,2019-05-17,80,220492,0.736,0.946,0.308,0.0,0.186,0.361,-7.83,0.0677,111.202,4,4
Depression,Years,Down Low,Astrid S,5WEAZtjEufELtaxqYcqCJg,2019-09-26,55,190267,0.664,0.855,0.285,0.0,0.0952,0.256,-7.907,0.0342,124.148,9,4
Depression,Memories,Memories,Jacob Tillberg,5l2GIiGkjbcuSIhCV08Zhj,2019-08-10,48,185425,0.57,0.703,0.671,0.000423,0.106,0.233,-8.421,0.0452,144.108,7,3
Depression,Nightstand,Nightstand,YNG Martyr,3Oug88Ku2EmAgTrc9fdsKB,2020-11-06,38,117073,0.722,0.0162,0.583,2.28e-06,0.104,0.154,-4.348,0.0816,81.953,9,4
Depression,Waves - Guitar Acoustic,Waves (Guitar Acoustic),Dean Lewis,0SUih4u16BlTsIDyB7J0SU,2017-06-23,48,248427,0.412,0.935,0.285,0.0,0.11,0.377,-9.918,0.0444,151.739,11,4
Depression,Out Of Love,The Pains Of Growing,Alessia Cara,4WzhjxvLP95y7AMDy0Atwb,2018-11-30,74,227693,0.481,0.8,0.267,0.0,0.249,0.137,-9.249,0.0339,117.64,7,3
Depression,Time - Edit,Time,NF,68Vm2W4oURsPV3121vUZgB,2019-07-12,58,230610,0.665,0.128,0.703,0.0,0.115,0.257,-3.885,0.07,97.968,8,4
Depression,One,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,5C1TucCRf4Vjjree1OItyv,2019-05-17,66,179907,0.708,0.834,0.339,0.0,0.128,0.512,-7.085,0.0409,117.995,9,4
Depression,Serotonin,Serotonin,Crisaunt,1FvHXsDDgShBgDsrLjFsLE,2020-10-30,34,157057,0.705,0.0305,0.509,0.00489,0.0543,0.567,-11.126,0.0679,179.198,8,4
Depression,I Miss The Days,The Search,NF,3ebfDw8WEbf0DxGh47R2lo,2019-07-26,67,269184,0.719,0.345,0.768,0.0,0.104,0.0979,-5.658,0.19,137.887,11,4
Depression,when the party's over,when the party's over,Billie Eilish,14JzyD6FlBD5z0wV5P07YI,2018-10-17,0,199931,0.498,0.979,0.104,7.86e-05,0.0895,0.205,-14.08,0.0621,124.001,1,3
Depression,Mystery,Mystery,Jeris,0nZ5Vx48UcSXpY2wLSTP4Z,2016-09-03,40,275133,0.371,0.263,0.437,8.78e-05,0.0776,0.108,-9.638,0.0428,125.937,0,4
Depression,How Could You Leave Us,Therapy Session,NF,10bt2wAkFgCWRCEOyAyWT9,2016-04-22,68,322586,0.536,0.513,0.708,0.0,0.0951,0.09,-7.882,0.758,78.33,6,4
Depression,Robin Hood,Robin Hood,Anson Seabra,5dyihZecYMcEPq09Bk2OL2,2018-09-21,65,221538,0.731,0.952,0.153,0.0,0.134,0.324,-14.409,0.0562,78.072,4,4
