mood,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Contentment,Upside Down,Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George,Jack Johnson,6shRGWCtBUOPFLFTTqXZIC,2006,67,208653,0.787,0.238,0.655,0.000171,0.138,0.65,-8.339,0.0431,102.485,6,4
Contentment,Be OK,Be OK,Ingrid Michaelson,2qESkHBZ2VThboOnosYFBk,2008-01-01,0,147680,0.821,0.13,0.773,0.0,0.116,0.954,-6.741,0.0464,133.053,4,4
Contentment,Someone New,Hozier,Hozier,0efT4YKQLQx2YHbp6vgRX8,2014-10-07,57,222813,0.446,0.427,0.533,3.26e-06,0.332,0.58,-5.955,0.046,183.81,7,4
Contentment,New Soul,Yael Naïm,Yael Naim,6obMmMuVhvB0VMTZa5EJIP,2007-10-22,0,225106,0.769,0.733,0.371,3.73e-05,0.106,0.653,-8.522,0.0326,100.001,0,4
Contentment,The Way I Am,Girls and Boys,Ingrid Michaelson,43ddJFnP8m3PzNJXiHuiyJ,2007-01-01,56,135386,0.877,0.771,0.259,8.98e-06,0.108,0.32,-9.302,0.0427,119.989,5,4
Contentment,Better Together,In Between Dreams,Jack Johnson,4VywXu6umkIQ2OS0m1I79y,2005-01-01,71,207680,0.868,0.308,0.347,2e-05,0.11,0.659,-9.529,0.0536,110.059,5,4
Contentment,Little Talks,My Head Is An Animal,Of Monsters and Men,3a2tuvXCHbW5nuUckuHkKT,2012-01-01,58,266600,0.445,0.0206,0.757,0.0,0.146,0.421,-5.177,0.0322,102.878,1,4
Contentment,Sunday Candy,Surf,Donnie Trumpet & The Social Experiment,6fTdcGsjxlAD9PSkoPaLMX,2015-06-30,65,226013,0.511,0.53,0.596,0.0,0.0798,0.554,-6.56,0.224,158.063,0,4
Contentment,Waiting On the World to Change,Continuum,John Mayer,5imShWWzwqfAJ9gXFpGAQh,2006-09-11,73,201173,0.578,0.157,0.756,0.000232,0.249,0.663,-5.82,0.115,176.739,2,4
Contentment,Heart's Content,Bear Creek,Brandi Carlile,0pegFWSUOTiG0sLVEfxtvA,2012-06-01,59,214666,0.564,0.724,0.209,3.99e-05,0.107,0.402,-8.922,0.0317,109.024,3,4
Contentment,"1, 2, 3, 4",Wonders Of The Younger (International Version),Plain White T's,4wlPXKxC2oeiYYPldZaR0s,2010-01-01,42,198373,0.458,0.599,0.548,1.25e-05,0.106,0.55,-7.1,0.0263,90.599,2,4
Contentment,Count on Me,Doo-Wops & Hooligans,Bruno Mars,7l1qvxWjxcKpB9PCtBuTbU,2010-10-05,75,197469,0.589,0.851,0.389,0.0,0.0772,0.501,-5.972,0.028,89.1,0,4
Contentment,The Show,Lenka,Lenka,6IfGxW1hRMUjjgVSDXwcAi,2008-09-09,0,235693,0.753,0.259,0.59,0.0,0.0836,0.593,-4.144,0.0317,123.028,0,4
Contentment,Rhythm Of Love,Wonders Of The Younger (International Version),Plain White T's,1OUxBM6TphEnDh4EQkNRv1,2010-01-01,53,200200,0.531,0.363,0.549,0.0,0.118,0.681,-7.895,0.0378,171.781,8,4
