name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Janet,Berhana,Berhana,3ml3WB66sqG4kXoPBX2POA,2016-07-21,55,204000,0.81,0.354,0.308,0.0,0.0899,0.56,-8.194,0.0818,120.012,0,4
Chanel,Chanel,Frank Ocean,6Nle9hKrkL1wQpwNfEkxjh,2017-03-10,79,210285,0.776,0.874,0.503,0.0,0.112,0.473,-5.732,0.237,110.134,0,4
Get You (feat. Kali Uchis),Freudian,Daniel Caesar,7zFXmv6vqI4qOt4yGf3jYZ,2017-08-25,80,278179,0.658,0.422,0.294,5.2e-05,0.0749,0.358,-8.533,0.0321,74.038,4,4
Love Galore (feat. Travis Scott),Ctrl,SZA,0q75NwOoFiARAVp4EXU4Bs,2017-06-09,77,275080,0.795,0.112,0.594,0.0,0.162,0.409,-6.2,0.0748,135.002,0,4
Electric (feat. Khalid),The Color Of You,Alina Baraz,2mj7x99sNUsVHPBRK51zlG,2018-04-06,67,246327,0.599,0.738,0.396,2.19e-05,0.102,0.134,-10.489,0.0392,111.072,10,4
While We're Young,Trip,Jhené Aiko,4mL59LVbKgOpEACxraGYdr,2017-09-22,71,236160,0.649,0.104,0.791,1.97e-06,0.108,0.811,-6.013,0.193,128.023,2,4
Coaster,American Teen,Khalid,39KG4kom3enSx4GTThuDGt,2017-04-27,72,199120,0.441,0.935,0.219,0.0,0.115,0.244,-14.586,0.0419,94.021,8,4
Teenage Fever,More Life,Drake,6n3HGiq4v35D6eFOSwqYuo,2017-03-18,80,219692,0.766,0.111,0.283,0.0172,0.115,0.144,-10.33,0.0846,97.04,8,4
Honey,Honey,Kehlani,5QTdOvIF2ehBMZpSIIGzIo,2017-10-06,68,199209,0.606,0.772,0.24,0.0,0.0819,0.526,-7.102,0.0369,96.792,3,4
"Psycho, Pt. 2","Psycho, Pt. 2",Russ,26OhjtaTamFocE08t83ml6,2016-11-08,73,161985,0.766,0.775,0.548,5.57e-06,0.1,0.424,-4.29,0.235,82.944,10,4
First Fuck,First Fuck,6LACK,1u4orOe6gYxeE9xKpv11Qi,2017-02-24,61,205489,0.35,0.916,0.315,2.82e-06,0.0959,0.427,-9.753,0.064,88.449,3,4
Nights,Blonde,Frank Ocean,7eqoqGkKwgOaWNNHx90uEZ,2016-08-20,79,307151,0.466,0.42,0.548,1.01e-06,0.113,0.423,-9.362,0.118,89.815,5,4
Jocelyn Flores,17,XXXTENTACION,7m9OqQk4RVRkw9JJdeAw96,2017-08-25,85,119133,0.872,0.469,0.391,4.13e-06,0.297,0.437,-9.144,0.242,134.021,0,4
Don't,T R A P S O U L,Bryson Tiller,3pXF1nA74528Edde4of9CC,2015-10-02,79,198293,0.765,0.223,0.356,0.0,0.0963,0.189,-5.556,0.195,96.991,11,4
Deja Vu,Stoney (Deluxe),Post Malone,0H8XeaJunhvpBdBFIYi6Sh,2016-12-09,69,234213,0.62,0.0931,0.69,0.0,0.131,0.331,-6.508,0.0493,133.935,7,4
PEACE OF MIND,COLOURS 2,PARTYNEXTDOOR,46HZ8l9wPo9JNsk7dZLamb,2017-06-02,56,303030,0.782,0.283,0.367,0.0,0.0899,0.425,-5.28,0.0548,99.005,1,4
Hide (feat. Seezyn),Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,6rz0dTA0PdhXImFV5EjM0w,2018-12-14,76,205800,0.715,0.0622,0.639,0.0,0.157,0.151,-5.017,0.0752,149.996,5,4
Frustrated,Frustrated,R.LUM.R,1N5j9dRZ3foNWwU4Zp0pbq,2016-06-03,0,201463,0.441,0.321,0.57,0.0,0.0862,0.229,-6.186,0.0553,122.329,2,4
Mona Lisa,Mona Lisa,Naji,5GUvXUx0GbyBKO2f8yQxFn,2016-12-04,0,184888,0.586,0.692,0.404,0.00372,0.0908,0.347,-10.402,0.21,90.563,1,5
The Way (feat. Chance the Rapper),You Should Be Here,Kehlani,6mzaCRuLTRiz1caGOum3zT,2015-04-28,57,262520,0.746,0.389,0.538,0.0,0.139,0.516,-6.479,0.32,101.018,10,4
FREAK IN YOU,COLOURS 2,PARTYNEXTDOOR,16aNJYinJv9AAetWD5yJen,2017-06-02,59,272339,0.465,0.144,0.42,0.0,0.174,0.121,-8.503,0.0516,86.549,1,4
Wow.,Wow.,Post Malone,6MWtB6iiXyIwun0YzU6DFP,2018-12-24,2,149520,0.833,0.163,0.539,2.1e-06,0.101,0.385,-7.399,0.178,99.947,11,4
Hold on to Me,Hold on to Me,Kyle Dion,1PCawYuyiURCUeFks8fkh7,2016-08-11,43,267859,0.326,0.835,0.395,0.000113,0.0903,0.393,-6.399,0.0342,94.664,11,4
Vibin' Out,French Kiwi Juice,FKJ,6SEolIp22t0DzeBfCBo3hr,2017-03-02,64,311837,0.41,0.847,0.169,0.00327,0.117,0.208,-11.422,0.0485,89.494,3,4
Let Me Explain,Let Me Explain,Bryson Tiller,1trZGMI2CGyVT44STkpCoN,2016-10-20,64,223969,0.809,0.00156,0.504,0.0,0.0856,0.525,-3.201,0.15,120.065,2,4
True Colors,Starboy,The Weeknd,6i759FCuKx713ZnYjtpQGU,2016-11-24,59,206026,0.616,0.284,0.424,0.0,0.173,0.582,-8.237,0.251,76.676,1,4
Saved,American Teen,Khalid,248OFOZef6ShXv6DGgbnxU,2017-04-27,69,206533,0.739,0.189,0.448,0.0,0.118,0.553,-10.28,0.138,81.044,10,4
Blind Man,Blind Man,Xavier Omär,0DQQRJ4sR3pxwom9L7D7QR,2018-07-27,57,242195,0.89,0.453,0.523,1.58e-06,0.0831,0.345,-8.526,0.056,111.031,6,4
Exchange,T R A P S O U L,Bryson Tiller,43PuMrRfbyyuz4QpZ3oAwN,2015-10-02,77,194613,0.525,0.107,0.433,0.0,0.135,0.276,-10.598,0.185,160.108,6,4
Hallucinations,SEPT 5TH,dvsn,0UE0RhnRaEYsiYgXpyLoZc,2016-03-27,59,246293,0.765,0.0681,0.398,8.48e-06,0.14,0.348,-8.993,0.037,95.976,7,4
Right My Wrongs,T R A P S O U L,Bryson Tiller,5rgrBsAFYMun6yhtnLKRPz,2015-10-02,74,249320,0.543,0.345,0.449,0.0,0.157,0.29,-8.065,0.0463,132.609,1,4
We Find Love,Freudian,Daniel Caesar,1TPLsNVlofwX1txcE9gZZF,2017-08-25,65,254919,0.51,0.853,0.363,0.0,0.109,0.426,-8.635,0.0304,78.0,5,4
Somethin Tells Me,True to Self,Bryson Tiller,3Jrs7cC2OJNlNSy9VnDOMZ,2017-05-26,53,194266,0.735,0.0356,0.588,0.0,0.107,0.435,-7.197,0.226,90.002,5,4
Self Control,Blonde,Frank Ocean,5GUYJTQap5F3RDQiCOJhrS,2016-08-20,75,249667,0.572,0.765,0.209,0.0,0.356,0.446,-10.413,0.0313,80.069,8,4
Fuck Love (feat. Trippie Redd),17,XXXTENTACION,7AQim7LbvFVZJE3O8TYgf2,2017-08-25,83,146520,0.797,0.0172,0.533,0.000152,0.103,0.329,-9.74,0.0412,131.036,0,4
Poison,Poison,Brent Faiyaz,5NijSs5dAwaIybq1GaRTIe,2016-08-03,71,212992,0.689,0.711,0.394,0.000905,0.0859,0.382,-10.102,0.065,117.489,2,3
Losin Control,There's Really A Wolf,Russ,4cxMGhkinTocPSVVKWIw0d,2017-05-05,75,237506,0.759,0.515,0.245,0.000154,0.102,0.209,-6.545,0.138,96.992,6,4
Hold Me Down,Freudian,Daniel Caesar,1Mza2sr6tPhy6jjI3HB9fW,2017-08-25,64,231267,0.463,0.628,0.427,0.000565,0.0911,0.231,-9.799,0.0549,116.059,8,4
Ex Calling,FREE 6LACK,6LACK,1MQ8ydvrTnn2QJgXFATJvD,2016-11-18,65,211960,0.773,0.00561,0.564,1.99e-05,0.213,0.0588,-7.241,0.249,155.976,1,4
Provider,Provider,Frank Ocean,6R6ihJhRbgu7JxJKIbW57w,2017-08-27,64,243238,0.654,0.74,0.325,2.14e-05,0.152,0.39,-11.925,0.282,139.886,2,4
Pink Matter,channel ORANGE,Frank Ocean,1fOkmYW3ZFkkjIdOZSf596,2012-07-10,69,268813,0.392,0.951,0.233,0.000322,0.106,0.494,-11.012,0.0587,176.569,11,3
You,11:11,11:11,3ajnLvUV6cZiKtij8q0tzx,2016-05-24,52,252540,0.478,0.174,0.555,1.1e-05,0.103,0.139,-7.6,0.111,128.728,5,4
Too Fast,Too Fast,Sonder,42QRyJd5x6e2TFR1S41g2p,2016-10-25,61,308005,0.395,0.316,0.33,1.89e-05,0.268,0.102,-10.924,0.0408,98.813,4,3
In My Room,In My Room,Frank Ocean,4S4Mfvv03M1cHgIOJcbUCL,2019-11-02,77,133680,0.861,0.594,0.647,0.661,0.114,0.67,-7.425,0.0675,158.037,7,4
Drive Safe - A COLORS SHOW,Drive Safe - A COLORS SHOW,Rich Brian,2cM5JyfLJqA4B0SS2QrGxI,2019-12-13,0,204000,0.685,0.615,0.159,0.0,0.0978,0.519,-14.497,0.0306,98.007,7,4
Ivy,Blonde,Frank Ocean,2ZWlPOoWh0626oTaHrnl2a,2016-08-20,79,249191,0.567,0.782,0.388,0.000309,0.248,0.452,-9.579,0.0384,116.362,9,4
With Me,SEPT 5TH,dvsn,6AIte2Iej1QKlaofpjCzW1,2016-03-27,57,419500,0.771,0.0314,0.466,0.000761,0.31,0.245,-8.651,0.0308,110.011,0,4
Streetcar,Pilgrim's Paradise,Daniel Caesar,7Cu2COdH93MnuireuKNiS3,2015-11-12,69,246972,0.41,0.721,0.298,0.0,0.158,0.142,-11.796,0.0473,109.651,3,3
Ain't Nobody Takin My Baby,Ain't Nobody Takin My Baby,Russ,6VnqGxiMNexOe0kRmIsBw4,2016-12-23,66,189231,0.696,0.673,0.57,3.02e-06,0.098,0.329,-9.084,0.557,76.976,0,4
Insecure,A.M. Paradox,Brent Faiyaz,4t5Zj9I7WDYFaYlSif13lV,2016-09-20,59,245619,0.436,0.509,0.306,0.0,0.591,0.355,-11.337,0.0886,95.337,11,5
Talk 2 U,Sonder Son,Brent Faiyaz,1Xm9CQRcJbOgTCpKCpS9s5,2017-10-13,66,159485,0.688,0.14,0.634,0.000263,0.253,0.561,-10.443,0.0929,88.018,5,4
Marvins Room,Take Care (Deluxe),Drake,047fCsbO4NdmwCBn8pcUXl,2011-11-15,74,347226,0.492,0.646,0.26,0.00178,0.0705,0.312,-17.341,0.0921,111.519,9,5
Tadow,Lady Lady,Masego,51rPRW8NjxZoWPPjnRGzHw,2018-09-07,75,301893,0.704,0.669,0.487,8.64e-05,0.111,0.313,-6.407,0.0604,121.726,9,4
RENDEZVOUS,COLOURS 2,PARTYNEXTDOOR,77mh9ekRRedxpn25cf4p6q,2017-06-02,45,211914,0.776,0.00507,0.374,2.42e-06,0.11,0.388,-7.323,0.0478,94.004,10,4
Girls Need Love,Last Day Of Summer,Summer Walker,644rGY6maSElnKVsAg1gJj,2018-10-19,73,140760,0.645,0.558,0.418,0.0003,0.562,0.123,-10.065,0.29,96.963,6,4
Tattoos Together,~how i'm feeling~,Lauv,0ycFQvBTfuo1LCdG0HhszL,2020-01-16,0,186613,0.862,0.00575,0.4,7.49e-06,0.123,0.596,-7.486,0.0736,122.963,4,4
Lovely,A.M. Paradox,Brent Faiyaz,2jGjNCH6Op0BqBHPc4Rd8d,2016-09-20,61,291098,0.385,0.575,0.473,2.88e-05,0.13,0.0575,-8.656,0.0519,143.614,8,3
Afraid,Afraid,Xavier Omär,2zIkPM6r0yEjWt18qG3jP3,2017-03-29,50,220043,0.726,0.355,0.296,0.0,0.112,0.148,-7.859,0.0393,123.942,4,4
Blue World,Circles,Mac Miller,2hwOoMtWPtTSSn6WHV7Vp5,2020-01-17,76,209440,0.742,0.389,0.553,0.0,0.0694,0.508,-8.98,0.419,84.931,8,4
Easily,A Song For Every Moon,Bruno Major,2k9N4caeCIJLOWwWwssrEM,2017-08-31,75,210240,0.772,0.491,0.256,0.00612,0.144,0.357,-8.545,0.0481,118.902,7,3
Scared to Go Home,Scared to Go Home,Mindchatter,5gXLhbWoo01qNyGois2Doc,2020-04-08,23,179453,0.784,0.125,0.601,0.000122,0.0789,0.668,-8.54,0.0486,132.021,6,4
My Time,My Time,Julian Lamadrid,7bbphNnvNMrOym1PvjHaSu,2020-04-10,0,179560,0.728,0.161,0.583,0.0,0.123,0.392,-7.406,0.0458,105.047,7,4
Running Away,Running Away,Genevieve Stokes,10wQ1DKIMOfJy6vFUc3ClF,2020-04-10,0,186706,0.432,0.947,0.256,7.15e-06,0.161,0.168,-9.95,0.0416,115.721,0,4
My Vibe,My Vibe,Mt. Joy,6mf82AFoXnHzIo7sOxfFcH,2020-04-09,0,157266,0.673,0.493,0.704,2.04e-06,0.0732,0.578,-5.766,0.0339,93.547,6,4
Hunter,Hunter,Becca Mancari,6HsTyyMAHbWQdBU33OvTDz,2020-04-07,0,169257,0.712,0.302,0.676,0.00779,0.156,0.884,-6.297,0.0331,149.963,0,4
Zeus,Zeus,Croosh,0NbxvadJQOnlwk3cFbhDNV,2016-12-17,46,150622,0.889,0.413,0.324,0.0,0.09,0.577,-7.55,0.0468,110.041,5,4
Too Deep,SEPT 5TH,dvsn,3uSSjnDMmoyERaAK9KvpJR,2016-03-27,60,200223,0.616,0.284,0.243,0.149,0.264,0.56,-13.975,0.103,183.948,9,4
Good Love,Good Love,11:11,37YyskMNuGKjKwjifDaHzB,2017-06-13,39,266281,0.646,0.689,0.325,3.55e-06,0.084,0.321,-7.941,0.0311,127.894,11,4
Best Part (feat. H.E.R.),H.E.R.,H.E.R.,4OBZT9EnhYIV17t4pGw7ig,2017-10-20,73,209400,0.473,0.793,0.371,0.0,0.109,0.413,-10.219,0.0405,75.205,4,4
Make Luv,Make Luv,Brent Faiyaz,2CInzVilMduj9L8dDXwyUA,2018-02-09,62,193309,0.661,0.441,0.413,4.19e-05,0.114,0.276,-9.069,0.218,143.974,8,4
Cool Side Of The Pillow,Cool Side Of The Pillow,Kyle Dion,1UBCUQp3areFyJZjTwLz9g,2017-07-15,39,223781,0.479,0.409,0.646,0.0,0.174,0.369,-7.205,0.207,149.096,5,4
Stoop So Low,Stoop So Low,Alextbh,3DNsBFRbQWxygrn4UsqvTF,2016-11-07,49,197938,0.426,0.67,0.397,0.0,0.109,0.335,-9.089,0.0546,87.424,4,1
If This Is Love,The Everlasting Wave,Xavier Omär,2v9TxPdblHMBRir1y9uIqw,2016-10-15,47,220300,0.74,0.226,0.472,0.000208,0.225,0.305,-9.757,0.0989,104.044,0,4
Sativa,Trip,Jhené Aiko,2pg2TiYo9Rb8KeB5JjP7jS,2017-09-22,75,276960,0.741,0.316,0.61,0.0,0.534,0.72,-7.34,0.0511,125.99,6,4
One Night Only,One Night Only,Sonder,74fQgHleHZ4V7Gm1XYcGkj,2018-02-09,66,195909,0.874,0.263,0.402,0.00094,0.147,0.764,-5.786,0.0691,119.99,4,4
Late Night Drive,Late Night Drive,Yo Trane,0K83VVfg5Y4bPoZ4kmytKH,2016-04-19,53,252371,0.491,0.382,0.375,0.0,0.103,0.19,-10.031,0.2,97.116,6,4
Belong to You (feat. 6LACK),About Time,Sabrina Claudio,2I88NEWpKrAPZuapXNV5G6,2017-10-05,65,185617,0.605,0.274,0.553,0.0152,0.184,0.62,-10.845,0.101,152.076,10,4
Searchin,Into,Sonder,2WcPWXOjoDKDVouyyWV8Eq,2017-01-27,55,264242,0.718,0.148,0.396,1.08e-05,0.176,0.338,-12.539,0.0357,103.994,10,4
Who Hurt You?,Who Hurt You?,Daniel Caesar,23c9gmiiv7RCu7twft0Mym,2018-10-16,69,231964,0.649,0.586,0.493,0.000167,0.0667,0.277,-7.645,0.11,104.542,11,4
Gang Over Luv,Sonder Son,Brent Faiyaz,7LaI3mRTJu66r9HKdv7iBx,2017-10-13,66,204841,0.781,0.0408,0.277,0.000339,0.0754,0.302,-9.35,0.326,163.987,8,4
Carry Me Home,Project 11,Jorja Smith,6fracv4du3sDwo1XKcPrkw,2016-11-17,58,282329,0.471,0.633,0.352,2.75e-05,0.115,0.102,-9.699,0.0391,118.333,2,3
Lil Thing,Lil Thing,Knox Fortune,3q6ygCZID0OKj6MUxInB48,2017-07-21,51,206967,0.713,0.262,0.755,0.000114,0.0947,0.625,-4.577,0.151,155.939,7,4
Memory,Memory,Mark Dohner,76NisTyoEBtIfKRxduYgZx,2020-03-20,40,188915,0.648,0.308,0.466,0.0,0.407,0.147,-9.479,0.0451,129.87,7,4
No Love in LA,No Love in LA,Mark Dohner,7uvspaECmvMLTx8gJGBZOC,2020-01-31,33,162967,0.729,0.0601,0.629,1.21e-05,0.151,0.35,-6.344,0.0472,98.045,7,4
Yellow Hearts,Yellow Hearts,Ant Saunders,2W4yABdLc4Jnds67Poi5Nl,2019-06-18,70,223257,0.866,0.177,0.438,0.0,0.0743,0.695,-8.943,0.0719,129.039,7,4
Feel,Into,Sonder,1uverlfbbG8InEPioAwB8y,2017-01-27,54,232502,0.455,0.525,0.255,0.00176,0.382,0.195,-14.512,0.0377,131.959,6,4
El Dorado,Peak,Choker,6x93hzBoL7HpirMN2P48co,2017-05-06,45,230400,0.469,0.0127,0.697,0.000116,0.329,0.362,-5.815,0.0312,149.921,4,4
Smile,Smile,Leven Kali,5Wbjjde5ez7sx22OtmrXKV,2017-05-25,53,218050,0.772,0.192,0.551,0.00175,0.108,0.635,-8.667,0.099,104.969,0,4
Stay Down,Sonder Son,Brent Faiyaz,4mwiRPRAUSSFD6lJ86m98B,2017-10-13,61,207325,0.551,0.617,0.301,1.1e-05,0.136,0.488,-13.065,0.111,84.695,11,4
Electric Love,Dopamine,BØRNS,2GiJYvgVaD2HtM8GqD9EgQ,2015-10-16,83,218106,0.611,0.00543,0.797,0.00137,0.26,0.518,-7.627,0.0533,120.041,6,4
American Money,Dopamine,BØRNS,4AewKenHXKBt643p473xCk,2015-10-16,68,260986,0.542,0.0226,0.867,0.00347,0.116,0.326,-5.26,0.0813,134.984,6,4
