name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,kmeans
OTW,OTW,Khalid,6Hgh47WXVKtXN5zGOu0hjI,2018-04-20,73,263013,0.652,0.183,0.678,3.26e-05,0.106,0.28,-6.183,0.0541,72.989,2,4,0
All Mine,ye,Kanye West,3qnoOm4fwZPBS116f5hpgF,2018-06-01,0,145506,0.925,0.125,0.308,0.0,0.0933,0.265,-6.562,0.338,122.099,11,4,0
Slide (feat. Frank Ocean & Migos),Funk Wav Bounces Vol.1,Calvin Harris,7tr2za8SQg2CI8EDgrdtNl,2017-06-30,73,230813,0.736,0.498,0.795,1.21e-06,0.254,0.511,-3.299,0.0545,104.066,1,4,0
Cigarette Daydreams,Melophobia,Cage The Elephant,2tznHmp70DxMyr2XhWLOW0,2013-10-08,79,208760,0.636,0.0807,0.676,0.0,0.0831,0.273,-3.442,0.0263,113.98,2,4,0
Sober,Kauai,Childish Gambino,6olUplztLFFfU7fMYmFXOP,2014-10-03,0,252013,0.699,0.0972,0.601,1.17e-05,0.562,0.434,-6.48,0.0304,98.04,0,4,0
Sky Walker (feat. Travis Scott),War & Leisure,Miguel,5WoaF1B5XIEnWfmb5NZikf,2017-12-01,74,259333,0.674,0.173,0.506,0.0,0.0866,0.183,-10.532,0.0434,145.965,6,4,0
Wanna Be Cool,Surf,Donnie Trumpet & The Social Experiment,4Zf351SuPuXo8w6IIMsxev,2015-06-30,43,207559,0.663,0.239,0.611,0.0,0.181,0.337,-8.287,0.301,116.947,0,4,0
Foreplay,Charlie Eastern,Jalen Santoy,3mogmakkKiKWOB0tVj1X9i,2016-11-18,50,171370,0.793,0.143,0.315,0.0142,0.113,0.541,-7.457,0.0825,118.824,1,4,0
LOVE. FEAT. ZACARI.,DAMN.,Kendrick Lamar,6PGoSes0D9eUDeeAafB2As,2017-04-14,82,213400,0.8,0.264,0.585,0.0,0.153,0.779,-7.343,0.0924,126.058,10,4,0
See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",7KA4W4McWYRpgf0fWsJZWB,2017-07-21,85,180386,0.558,0.371,0.559,7.49e-06,0.109,0.62,-9.222,0.0959,78.558,6,4,0
Young Dumb & Broke,American Teen,Khalid,5Z3GHaZ6ec9bsiI5BenrbY,2017-04-27,81,202546,0.799,0.199,0.539,1.66e-05,0.165,0.394,-6.351,0.0421,136.948,1,4,0
Come and See Me (feat. Drake),PARTYNEXTDOOR 3 (P3),PARTYNEXTDOOR,1wZqJM5FGDEl3FjHDxDyQd,2016-08-12,73,235477,0.717,0.0511,0.347,2.43e-06,0.087,0.0589,-10.265,0.0636,84.987,11,4,0
Late Night (feat. Masego),"And After That, We Didn't Talk",GoldLink,60ZZNXIdwgUGkVGRt7foLT,2015-11-06,56,161080,0.442,0.278,0.446,0.0,0.308,0.295,-11.354,0.786,51.539,9,4,0
Better,Better,Khalid,4T3fNx3CgwDRRYgmFCbD4J,2018-09-14,72,229412,0.442,0.0984,0.585,0.391,0.14,0.116,-10.332,0.0964,97.565,0,4,0
Redbone,"""Awaken, My Love!""",Childish Gambino,3kxfsdsCpFgN412fpnW85Y,2016-12-02,0,326933,0.745,0.172,0.356,0.00943,0.123,0.607,-10.425,0.0941,160.033,1,4,0
Japanese Denim,Get You - Single,Daniel Caesar,1boXOL0ua7N2iCOUVI1p9F,2016-10-21,77,270846,0.707,0.0905,0.238,2.42e-06,0.0842,0.345,-8.818,0.0379,124.156,3,3,0
Broken Clocks,Ctrl,SZA,2fXwCWkh6YG5zU1IyvQrbs,2017-06-09,77,231253,0.692,0.131,0.684,0.0,0.156,0.406,-7.364,0.155,112.912,6,4,0
Call Out My Name,"My Dear Melancholy,",The Weeknd,1gm616Plq4ScqNi7TVkZ5N,2018-03-29,0,228373,0.489,0.218,0.598,0.0,0.35,0.172,-4.929,0.036,134.045,1,3,0
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Funk Wav Bounces Vol.1,Calvin Harris,5bcTCxgc7xVfSaMV3RuVke,2017-06-30,82,223413,0.893,0.0642,0.745,0.0,0.0943,0.872,-3.105,0.0571,101.018,11,4,0
My Way,My Way,Calvin Harris,1vvNmPOiUuyCbgWmtc6yfm,2016-09-16,76,219159,0.818,0.093,0.913,3.69e-05,0.161,0.536,-3.06,0.0426,119.986,4,4,0
The Hills,Beauty Behind The Madness,The Weeknd,7fBv7CLKzipRk6EC6TWHOB,2015-08-28,86,242253,0.585,0.0671,0.564,0.0,0.135,0.137,-7.063,0.0515,113.003,0,4,0
I Fall Apart,Stoney (Deluxe),Post Malone,75ZvA4QfFiZvzhj2xkaWAh,2016-12-09,80,223346,0.556,0.0689,0.538,0.0,0.196,0.291,-5.408,0.0382,143.95,8,4,0
This Feeling (feat. Kelsea Ballerini),Sick Boy...Siren,The Chainsmokers,4edS9dC0JPBlSS4p4gMOT0,2018-10-26,0,199226,0.539,0.0651,0.651,0.0,0.0662,0.474,-5.304,0.0432,105.159,1,4,0
Something Just Like This,Memories...Do Not Open,The Chainsmokers,6RUKPb4LETWmmr3iAEQktW,2017-04-07,84,247160,0.617,0.0498,0.635,1.44e-05,0.164,0.446,-6.769,0.0317,103.019,11,4,0
Paris,Memories...Do Not Open,The Chainsmokers,72jbDTw1piOOj770jWNeaG,2017-04-07,74,221506,0.653,0.0215,0.658,1.66e-06,0.0939,0.219,-6.428,0.0304,99.99,2,4,0
PRBLMS,FREE 6LACK,6LACK,4AtZRwSR8BOTTQg5ihSggt,2016-11-18,72,246773,0.417,0.0307,0.58,1.45e-06,0.179,0.139,-4.574,0.207,68.58,9,5,0
Go Flex,Stoney (Deluxe),Post Malone,5yuShbu70mtHXY0yLzCQLQ,2016-12-09,78,179613,0.665,0.228,0.498,0.0,0.0757,0.127,-8.185,0.0832,81.967,5,4,0
Luving U,FREE 6LACK,6LACK,5irqvOUbWsUefjZ8KPSQ66,2016-11-18,60,252893,0.723,0.0886,0.471,0.000881,0.112,0.135,-9.506,0.122,121.962,10,4,0
Pineapple Skies,War & Leisure,Miguel,19EnyPZhNPbRoCxAuv5pKD,2017-12-01,60,281360,0.654,0.026,0.587,0.0,0.589,0.288,-6.331,0.0439,100.014,10,4,0
