name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,kmeans
Location,American Teen,Khalid,152lZdxL1OR0ZMW6KquMif,2017-04-27,79,219080,0.736,0.33,0.449,0.000162,0.0898,0.326,-11.462,0.425,80.126,1,4,1
Same Drugs,Coloring Book,Chance the Rapper,6m9qPYXmhge2QhBLfFKnVF,2016-05-27,62,257775,0.461,0.947,0.293,9.95e-06,0.0936,0.531,-9.52,0.0555,180.297,6,4,1
Sunday Candy,Surf,Donnie Trumpet & The Social Experiment,6fTdcGsjxlAD9PSkoPaLMX,2015-06-30,65,226013,0.511,0.53,0.596,0.0,0.0798,0.554,-6.56,0.224,158.063,0,4,1
Grey Luh,Berhana,Berhana,1x1BKrrpq7CfOZPBeUsx16,2016-07-21,57,261102,0.543,0.597,0.298,1.49e-06,0.0804,0.254,-9.167,0.0683,125.523,0,4,1
Thinkin Bout You,channel ORANGE,Frank Ocean,7DfFc7a6Rwfi3YQMRbDMau,2012-07-10,77,200746,0.721,0.409,0.339,0.00153,0.0973,0.2,-11.195,0.0532,129.83,0,4,1
Broad Shoulders (feat. Chance the Rapper),Broad Shoulders,Taylor Bennett,6m3ZXs465Rt4Tc1iiLktXL,2015-12-14,48,227263,0.6,0.822,0.524,3.29e-05,0.104,0.449,-9.297,0.146,127.5,0,4,1
Juke Jam (feat. Justin Bieber & Towkio),Coloring Book,Chance the Rapper,3eze1OsZ1rqeXkKStNfTmi,2016-05-27,64,219683,0.505,0.716,0.397,0.0,0.0853,0.558,-9.349,0.324,95.063,5,1,1
Pink + White,Blonde,Frank Ocean,3xKsf9qdS1CyvXSMEid6g8,2016-08-20,80,184516,0.544,0.67,0.552,4.57e-05,0.415,0.554,-7.45,0.0991,159.738,9,3,1
Psycho (feat. Ty Dolla $ign),beerbongs & bentleys,Post Malone,3swc6WTsr7rl9DqQKQA55C,2018-04-27,79,221440,0.75,0.546,0.56,0.0,0.111,0.459,-8.094,0.105,140.06,8,4,1
Boredom (feat. Rex Orange County & Anna of the North),Flower Boy,"Tyler, The Creator",5WNYg3usc6H8N3MBEp4zVk,2017-07-21,72,320720,0.559,0.79,0.578,0.000522,0.324,0.239,-9.54,0.151,79.938,8,4,1
Summer Friends (feat. Jeremih & Francis & The Lights),Coloring Book,Chance the Rapper,2fl0B0OaXjWbjHCQFx2O8W,2016-05-27,58,290316,0.693,0.675,0.426,1.03e-05,0.115,0.477,-12.476,0.302,144.796,8,4,1
The Weekend,Ctrl,SZA,6gU9OKjOE7ghfEd55oRO57,2017-06-09,74,272186,0.4,0.242,0.366,0.0,0.126,0.161,-9.405,0.0597,73.313,8,3,1
Never Be Like You (feat. Kai),Skin,Flume,5WI2ltQIdwgzf1SNE76JyR,2016-05-27,67,234909,0.444,0.453,0.557,0.0,0.152,0.296,-5.476,0.0602,115.058,0,4,1
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,1A6OTy97kk0mMdm78rHsm8,2018-10-18,0,158053,0.753,0.551,0.498,0.0,0.0706,0.927,-5.61,0.0504,89.95,2,4,1
Up There,Stoney (Deluxe),Post Malone,2rKmNEYrQxaOPZrOWKZpOc,2016-12-09,63,194826,0.654,0.373,0.378,1.07e-05,0.0971,0.437,-8.108,0.0322,72.976,5,4,1
Janet,Berhana,Berhana,3ml3WB66sqG4kXoPBX2POA,2016-07-21,55,204000,0.81,0.354,0.308,0.0,0.0899,0.56,-8.194,0.0818,120.012,0,4,1
Chanel,Chanel,Frank Ocean,6Nle9hKrkL1wQpwNfEkxjh,2017-03-10,79,210285,0.776,0.874,0.503,0.0,0.112,0.473,-5.732,0.237,110.134,0,4,1
Get You (feat. Kali Uchis),Freudian,Daniel Caesar,7zFXmv6vqI4qOt4yGf3jYZ,2017-08-25,80,278179,0.658,0.422,0.294,5.2e-05,0.0749,0.358,-8.533,0.0321,74.038,4,4,1
Electric (feat. Khalid),The Color Of You,Alina Baraz,2mj7x99sNUsVHPBRK51zlG,2018-04-06,67,246327,0.599,0.738,0.396,2.19e-05,0.102,0.134,-10.489,0.0392,111.072,10,4,1
Coaster,American Teen,Khalid,39KG4kom3enSx4GTThuDGt,2017-04-27,72,199120,0.441,0.935,0.219,0.0,0.115,0.244,-14.586,0.0419,94.021,8,4,1
Honey,Honey,Kehlani,5QTdOvIF2ehBMZpSIIGzIo,2017-10-06,68,199209,0.606,0.772,0.24,0.0,0.0819,0.526,-7.102,0.0369,96.792,3,4,1
"Psycho, Pt. 2","Psycho, Pt. 2",Russ,26OhjtaTamFocE08t83ml6,2016-11-08,73,161985,0.766,0.775,0.548,5.57e-06,0.1,0.424,-4.29,0.235,82.944,10,4,1
First Fuck,First Fuck,6LACK,1u4orOe6gYxeE9xKpv11Qi,2017-02-24,61,205489,0.35,0.916,0.315,2.82e-06,0.0959,0.427,-9.753,0.064,88.449,3,4,1
Nights,Blonde,Frank Ocean,7eqoqGkKwgOaWNNHx90uEZ,2016-08-20,79,307151,0.466,0.42,0.548,1.01e-06,0.113,0.423,-9.362,0.118,89.815,5,4,1
Jocelyn Flores,17,XXXTENTACION,7m9OqQk4RVRkw9JJdeAw96,2017-08-25,85,119133,0.872,0.469,0.391,4.13e-06,0.297,0.437,-9.144,0.242,134.021,0,4,1
Mona Lisa,Mona Lisa,Naji,5GUvXUx0GbyBKO2f8yQxFn,2016-12-04,0,184888,0.586,0.692,0.404,0.00372,0.0908,0.347,-10.402,0.21,90.563,1,5,1
Hold on to Me,Hold on to Me,Kyle Dion,1PCawYuyiURCUeFks8fkh7,2016-08-11,43,267859,0.326,0.835,0.395,0.000113,0.0903,0.393,-6.399,0.0342,94.664,11,4,1
Vibin' Out,French Kiwi Juice,FKJ,6SEolIp22t0DzeBfCBo3hr,2017-03-02,64,311837,0.41,0.847,0.169,0.00327,0.117,0.208,-11.422,0.0485,89.494,3,4,1
Blind Man,Blind Man,Xavier Omär,0DQQRJ4sR3pxwom9L7D7QR,2018-07-27,57,242195,0.89,0.453,0.523,1.58e-06,0.0831,0.345,-8.526,0.056,111.031,6,4,1
Right My Wrongs,T R A P S O U L,Bryson Tiller,5rgrBsAFYMun6yhtnLKRPz,2015-10-02,74,249320,0.543,0.345,0.449,0.0,0.157,0.29,-8.065,0.0463,132.609,1,4,1
We Find Love,Freudian,Daniel Caesar,1TPLsNVlofwX1txcE9gZZF,2017-08-25,65,254919,0.51,0.853,0.363,0.0,0.109,0.426,-8.635,0.0304,78.0,5,4,1
Self Control,Blonde,Frank Ocean,5GUYJTQap5F3RDQiCOJhrS,2016-08-20,75,249667,0.572,0.765,0.209,0.0,0.356,0.446,-10.413,0.0313,80.069,8,4,1
Poison,Poison,Brent Faiyaz,5NijSs5dAwaIybq1GaRTIe,2016-08-03,71,212992,0.689,0.711,0.394,0.000905,0.0859,0.382,-10.102,0.065,117.489,2,3,1
Losin Control,There's Really A Wolf,Russ,4cxMGhkinTocPSVVKWIw0d,2017-05-05,75,237506,0.759,0.515,0.245,0.000154,0.102,0.209,-6.545,0.138,96.992,6,4,1
Hold Me Down,Freudian,Daniel Caesar,1Mza2sr6tPhy6jjI3HB9fW,2017-08-25,64,231267,0.463,0.628,0.427,0.000565,0.0911,0.231,-9.799,0.0549,116.059,8,4,1
Provider,Provider,Frank Ocean,6R6ihJhRbgu7JxJKIbW57w,2017-08-27,64,243238,0.654,0.74,0.325,2.14e-05,0.152,0.39,-11.925,0.282,139.886,2,4,1
Pink Matter,channel ORANGE,Frank Ocean,1fOkmYW3ZFkkjIdOZSf596,2012-07-10,69,268813,0.392,0.951,0.233,0.000322,0.106,0.494,-11.012,0.0587,176.569,11,3,1
Too Fast,Too Fast,Sonder,42QRyJd5x6e2TFR1S41g2p,2016-10-25,61,308005,0.395,0.316,0.33,1.89e-05,0.268,0.102,-10.924,0.0408,98.813,4,3,1
Drive Safe - A COLORS SHOW,Drive Safe - A COLORS SHOW,Rich Brian,2cM5JyfLJqA4B0SS2QrGxI,2019-12-13,0,204000,0.685,0.615,0.159,0.0,0.0978,0.519,-14.497,0.0306,98.007,7,4,1
Ivy,Blonde,Frank Ocean,2ZWlPOoWh0626oTaHrnl2a,2016-08-20,79,249191,0.567,0.782,0.388,0.000309,0.248,0.452,-9.579,0.0384,116.362,9,4,1
Streetcar,Pilgrim's Paradise,Daniel Caesar,7Cu2COdH93MnuireuKNiS3,2015-11-12,69,246972,0.41,0.721,0.298,0.0,0.158,0.142,-11.796,0.0473,109.651,3,3,1
Ain't Nobody Takin My Baby,Ain't Nobody Takin My Baby,Russ,6VnqGxiMNexOe0kRmIsBw4,2016-12-23,66,189231,0.696,0.673,0.57,3.02e-06,0.098,0.329,-9.084,0.557,76.976,0,4,1
Insecure,A.M. Paradox,Brent Faiyaz,4t5Zj9I7WDYFaYlSif13lV,2016-09-20,59,245619,0.436,0.509,0.306,0.0,0.591,0.355,-11.337,0.0886,95.337,11,5,1
Marvins Room,Take Care (Deluxe),Drake,047fCsbO4NdmwCBn8pcUXl,2011-11-15,74,347226,0.492,0.646,0.26,0.00178,0.0705,0.312,-17.341,0.0921,111.519,9,5,1
Tadow,Lady Lady,Masego,51rPRW8NjxZoWPPjnRGzHw,2018-09-07,75,301893,0.704,0.669,0.487,8.64e-05,0.111,0.313,-6.407,0.0604,121.726,9,4,1
Girls Need Love,Last Day Of Summer,Summer Walker,644rGY6maSElnKVsAg1gJj,2018-10-19,73,140760,0.645,0.558,0.418,0.0003,0.562,0.123,-10.065,0.29,96.963,6,4,1
Lovely,A.M. Paradox,Brent Faiyaz,2jGjNCH6Op0BqBHPc4Rd8d,2016-09-20,61,291098,0.385,0.575,0.473,2.88e-05,0.13,0.0575,-8.656,0.0519,143.614,8,3,1
Afraid,Afraid,Xavier Omär,2zIkPM6r0yEjWt18qG3jP3,2017-03-29,50,220043,0.726,0.355,0.296,0.0,0.112,0.148,-7.859,0.0393,123.942,4,4,1
