mood,danceability,acousticness,energy,liveness,valence,loudness
1,0.469,0.752,0.334,0.376,0.282,-8.172
1,0.421,0.309,0.407,0.11,0.161,-7.445
1,0.589,0.914,0.242,0.0887,0.257,-10.517
1,0.732,0.374,0.463,0.194,0.397,-6.972
1,0.681,0.837,0.174,0.0983,0.231,-8.745
1,0.379,0.952,0.29,0.118,0.169,-8.485
1,0.349,0.726,0.348,0.12,0.0886,-6.142
1,0.504,0.303,0.538,0.139,0.351,-6.714
1,0.422,0.922,0.264,0.132,0.331,-7.064
1,0.574,0.22,0.329,0.0986,0.356,-6.829
1,0.209,0.164,0.417,0.113,0.124,-8.74
1,0.563,0.209,0.592,0.132,0.136,-4.571
1,0.64,0.269,0.743,0.101,0.361,-4.08
1,0.477,0.928,0.242,0.0818,0.488,-9.162
1,0.801,0.216,0.693,0.134,0.563,-6.493
1,0.388,0.928,0.372,0.146,0.285,-5.72
1,0.52,0.922,0.119,0.0883,0.355,-12.148
1,0.63,0.4,0.53,0.177,0.417,-7.259
1,0.589,0.64,0.227,0.0248,0.182,-16.67
1,0.583,0.111,0.655,0.113,0.201,-5.407
1,0.529,0.104,0.607,0.0631,0.238,-6.781
1,0.766,0.334,0.663,0.117,0.509,-6.932
1,0.752,0.297,0.488,0.0936,0.533,-7.05
1,0.468,0.919,0.19,0.107,0.326,-11.138
1,0.614,0.607,0.379,0.0986,0.201,-10.48
1,0.652,0.74,0.557,0.124,0.483,-5.714
1,0.483,0.737,0.412,0.116,0.247,-8.461
1,0.593,0.363,0.74,0.102,0.502,-6.12
1,0.783,0.00886,0.618,0.626,0.927,-8.014
1,0.475,0.819,0.37,0.0841,0.157,-7.725
1,0.781,0.474,0.445,0.184,0.591,-6.061
1,0.402,0.907,0.151,0.0941,0.483,-14.227
1,0.539,0.108,0.583,0.111,0.337,-4.935
1,0.559,0.701,0.422,0.0853,0.191,-11.89
1,0.618,0.496,0.504,0.698,0.58,-9.328
1,0.669,0.169,0.689,0.122,0.457,-5.721
1,0.545,0.367,0.458,0.118,0.164,-4.6
1,0.507,0.449,0.48,0.147,0.35,-5.418
1,0.327,0.775,0.295,0.107,0.143,-6.907
1,0.489,0.27,0.597,0.105,0.324,-6.633
1,0.367,0.978,0.111,0.0897,0.198,-14.084
1,0.485,0.784,0.332,0.146,0.273,-9.244
1,0.608,0.539,0.477,0.0962,0.492,-9.396
1,0.494,0.822,0.243,0.147,0.0722,-9.083
1,0.599,0.163,0.448,0.106,0.168,-6.312
1,0.324,0.262,0.416,0.11,0.151,-8.92
1,0.447,0.785,0.393,0.28,0.564,-8.65
1,0.483,0.694,0.303,0.115,0.139,-10.058
1,0.558,0.907,0.296,0.108,0.463,-9.18
1,0.543,0.101,0.745,0.107,0.494,-5.294
1,0.188,0.174,0.411,0.0843,0.159,-9.733
1,0.329,0.918,0.235,0.137,0.22,-7.699
1,0.708,0.205,0.641,0.0945,0.253,-4.296
1,0.556,0.0689,0.538,0.196,0.291,-5.408
1,0.53,0.199,0.526,0.232,0.323,-8.349
1,0.681,0.263,0.453,0.0543,0.348,-6.09
1,0.678,0.0554,0.759,0.141,0.884,-6.838
1,0.767,0.893,0.512,0.103,0.489,-6.777
1,0.488,0.556,0.343,0.21,0.0978,-8.985
1,0.53,0.17,0.538,0.248,0.288,-6.672
1,0.747,0.26,0.716,0.0907,0.487,-5.071
1,0.602,0.11,0.528,0.157,0.455,-7.152
1,0.359,0.492,0.543,0.118,0.453,-7.582
1,0.639,0.0802,0.567,0.173,0.536,-5.665
1,0.756,0.0659,0.612,0.274,0.452,-4.371
1,0.346,0.573,0.188,0.108,0.0388,-12.688
1,0.572,0.156,0.503,0.346,0.553,-7.334
1,0.389,0.178,0.665,0.116,0.199,-6.169
1,0.5,0.746,0.292,0.188,0.37,-8.554
1,0.693,0.299,0.624,0.0955,0.369,-7.482
1,0.486,0.0681,0.582,0.106,0.474,-8.555
1,0.746,0.0152,0.754,0.0486,0.764,-6.681
1,0.407,0.857,0.147,0.0913,0.0765,-8.822
1,0.437,0.566,0.351,0.0888,0.383,-6.823
1,0.578,0.33,0.43,0.0854,0.288,-6.134
1,0.872,0.469,0.391,0.297,0.437,-9.144
1,0.479,0.365,0.545,0.0963,0.243,-7.346
1,0.842,0.372,0.64,0.111,0.943,-7.17
1,0.481,0.613,0.179,0.145,0.405,-21.424
1,0.358,0.695,0.557,0.0902,0.494,-7.398
1,0.667,0.785,0.373,0.0906,0.0823,-9.389
1,0.376,0.303,0.595,0.095,0.265,-5.936
1,0.584,0.512,0.7,0.13,0.549,-4.251
1,0.653,0.658,0.378,0.177,0.54,-8.273
1,0.685,0.259,0.682,0.149,0.689,-5.26
1,0.627,0.174,0.699,0.0789,0.535,-4.504
1,0.736,0.946,0.308,0.186,0.361,-7.83
1,0.481,0.9,0.285,0.123,0.316,-10.848
1,0.632,0.107,0.518,0.354,0.427,-6.126
1,0.677,0.529,0.485,0.0766,0.493,-5.795
1,0.405,0.964,0.111,0.0872,0.219,-11.879
1,0.522,0.00916,0.614,0.117,0.246,-6.502
1,0.452,0.246,0.574,0.189,0.58,-8.336
1,0.336,0.503,0.424,0.273,0.159,-7.203
1,0.709,0.811,0.22,0.175,0.53,-11.856
1,0.588,0.839,0.391,0.227,0.349,-8.607
1,0.41,0.947,0.0485,0.108,0.247,-13.918
1,0.494,0.895,0.17,0.139,0.145,-11.368
1,0.593,0.052,0.699,0.524,0.232,-5.674
1,0.69,0.358,0.582,0.0776,0.448,-6.259
1,0.455,0.889,0.292,0.106,0.43,-6.792
1,0.593,0.355,0.394,0.121,0.543,-8.946
1,0.446,0.913,0.37,0.126,0.209,-8.447
1,0.508,0.272,0.72,0.0563,0.472,-5.908
1,0.675,0.633,0.479,0.088,0.454,-9.87
1,0.805,0.00446,0.883,0.0973,0.696,-4.869
1,0.667,0.575,0.361,0.0805,0.29,-8.69
1,0.386,0.932,0.136,0.0653,0.0976,-9.267
1,0.575,0.637,0.664,0.116,0.437,-5.303
1,0.559,0.887,0.157,0.107,0.348,-10.132
1,0.47,0.329,0.431,0.0854,0.289,-6.129
1,0.609,0.835,0.378,0.28,0.515,-9.828
1,0.811,0.0405,0.744,0.294,0.962,-5.527
1,0.515,0.286,0.714,0.118,0.495,-4.516
1,0.498,0.72,0.235,0.144,0.0895,-16.541
1,0.448,0.855,0.241,0.124,0.131,-8.643
1,0.55,0.161,0.415,0.108,0.274,-6.557
1,0.377,0.303,0.595,0.095,0.264,-5.936
1,0.599,0.385,0.624,0.125,0.539,-3.631
1,0.678,0.265,0.545,0.262,0.556,-10.002
1,0.646,0.43,0.42,0.107,0.0925,-6.21
1,0.469,0.0393,0.592,0.105,0.0938,-4.962
1,0.494,0.682,0.632,0.0869,0.0797,-6.89
