,index,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
304,381,Hunter,Hunter,Becca Mancari,6HsTyyMAHbWQdBU33OvTDz,2020-04-07,0,169257,0.712,0.302,0.676,0.00779,0.156,0.884,-6.297,0.0331,149.963,0,4
305,382,Zeus,Zeus,Croosh,0NbxvadJQOnlwk3cFbhDNV,2016-12-17,46,150622,0.889,0.413,0.324,0.0,0.09,0.577,-7.55,0.0468,110.041,5,4
306,383,Too Deep,SEPT 5TH,dvsn,3uSSjnDMmoyERaAK9KvpJR,2016-03-27,60,200223,0.616,0.284,0.243,0.149,0.264,0.56,-13.975,0.103,183.948,9,4
307,384,Good Love,Good Love,11:11,37YyskMNuGKjKwjifDaHzB,2017-06-13,39,266281,0.646,0.689,0.325,3.55e-06,0.084,0.321,-7.941,0.0311,127.894,11,4
308,386,Make Luv,Make Luv,Brent Faiyaz,2CInzVilMduj9L8dDXwyUA,2018-02-09,62,193309,0.661,0.441,0.413,4.19e-05,0.114,0.276,-9.069,0.218,143.974,8,4
309,387,Cool Side Of The Pillow,Cool Side Of The Pillow,Kyle Dion,1UBCUQp3areFyJZjTwLz9g,2017-07-15,39,223781,0.479,0.409,0.646,0.0,0.174,0.369,-7.205,0.207,149.096,5,4
310,388,Stoop So Low,Stoop So Low,Alextbh,3DNsBFRbQWxygrn4UsqvTF,2016-11-07,49,197938,0.426,0.67,0.397,0.0,0.109,0.335,-9.089,0.0546,87.424,4,1
311,389,If This Is Love,The Everlasting Wave,Xavier Omär,2v9TxPdblHMBRir1y9uIqw,2016-10-15,47,220300,0.74,0.226,0.472,0.000208,0.225,0.305,-9.757,0.0989,104.044,0,4
312,391,One Night Only,One Night Only,Sonder,74fQgHleHZ4V7Gm1XYcGkj,2018-02-09,66,195909,0.874,0.263,0.402,0.00094,0.147,0.764,-5.786,0.0691,119.99,4,4
313,392,Late Night Drive,Late Night Drive,Yo Trane,0K83VVfg5Y4bPoZ4kmytKH,2016-04-19,53,252371,0.491,0.382,0.375,0.0,0.103,0.19,-10.031,0.2,97.116,6,4
314,393,Belong to You (feat. 6LACK),About Time,Sabrina Claudio,2I88NEWpKrAPZuapXNV5G6,2017-10-05,65,185617,0.605,0.274,0.553,0.0152,0.184,0.62,-10.845,0.101,152.076,10,4
315,394,Searchin,Into,Sonder,2WcPWXOjoDKDVouyyWV8Eq,2017-01-27,55,264242,0.718,0.148,0.396,1.08e-05,0.176,0.338,-12.539,0.0357,103.994,10,4
316,396,Gang Over Luv,Sonder Son,Brent Faiyaz,7LaI3mRTJu66r9HKdv7iBx,2017-10-13,66,204841,0.781,0.0408,0.277,0.000339,0.0754,0.302,-9.35,0.326,163.987,8,4
317,397,Carry Me Home,Project 11,Jorja Smith,6fracv4du3sDwo1XKcPrkw,2016-11-17,58,282329,0.471,0.633,0.352,2.75e-05,0.115,0.102,-9.699,0.0391,118.333,2,3
318,398,Lil Thing,Lil Thing,Knox Fortune,3q6ygCZID0OKj6MUxInB48,2017-07-21,51,206967,0.713,0.262,0.755,0.000114,0.0947,0.625,-4.577,0.151,155.939,7,4
319,399,Memory,Memory,Mark Dohner,76NisTyoEBtIfKRxduYgZx,2020-03-20,40,188915,0.648,0.308,0.466,0.0,0.407,0.147,-9.479,0.0451,129.87,7,4
320,401,Yellow Hearts,Yellow Hearts,Ant Saunders,2W4yABdLc4Jnds67Poi5Nl,2019-06-18,70,223257,0.866,0.177,0.438,0.0,0.0743,0.695,-8.943,0.0719,129.039,7,4
321,402,Feel,Into,Sonder,1uverlfbbG8InEPioAwB8y,2017-01-27,54,232502,0.455,0.525,0.255,0.00176,0.382,0.195,-14.512,0.0377,131.959,6,4
322,403,El Dorado,Peak,Choker,6x93hzBoL7HpirMN2P48co,2017-05-06,45,230400,0.469,0.0127,0.697,0.000116,0.329,0.362,-5.815,0.0312,149.921,4,4
323,404,Smile,Smile,Leven Kali,5Wbjjde5ez7sx22OtmrXKV,2017-05-25,53,218050,0.772,0.192,0.551,0.00175,0.108,0.635,-8.667,0.099,104.969,0,4
324,406,Electric Love,Dopamine,BØRNS,2GiJYvgVaD2HtM8GqD9EgQ,2015-10-16,83,218106,0.611,0.00543,0.797,0.00137,0.26,0.518,-7.627,0.0533,120.041,6,4
325,407,American Money,Dopamine,BØRNS,4AewKenHXKBt643p473xCk,2015-10-16,68,260986,0.542,0.0226,0.867,0.00347,0.116,0.326,-5.26,0.0813,134.984,6,4
326,408,Baianá,Baianá,Bakermat,3iCO0ZekWPK6rmLnDjejLB,2019-10-31,49,180842,0.564,0.000741,0.723,0.672,0.543,0.466,-6.983,0.0702,121.97,2,4
327,409,Talk Too Much,How Will You Know If You Never Try,COIN,4djIFfof5TpbSGRZUpsTXq,2017-04-21,73,187133,0.598,0.00947,0.888,0.0,0.347,0.482,-5.119,0.0807,103.966,4,4
328,411,Why Don't You Come On,Why Don't You Come On,DJDS,57MRdGJYqG7yqBeApkc25e,2017-08-31,0,199980,0.67,0.0771,0.677,0.0,0.188,0.348,-5.554,0.0664,128.088,1,4
329,412,Been Away,Fuck The World,Brent Faiyaz,5PvVkf1Yuq3XyMqqjPiKPd,2020-02-07,71,223629,0.602,0.477,0.5,5.69e-05,0.295,0.395,-9.377,0.298,132.798,8,4
330,413,INNERSTATE,INNERSTATE,Zaia,5yQK2KygOPaDjgFutqlqRv,2020-04-24,29,162773,0.714,0.00518,0.609,0.018,0.116,0.247,-7.811,0.0599,167.89,0,4
331,414,The Worst In Me,BUBBA,KAYTRANADA,4cOVTA2GfYTHw99AJDQpHo,2019-12-13,58,226720,0.784,0.00936,0.645,0.000132,0.117,0.59,-7.325,0.402,109.978,10,4
332,416,Dead Man Walking,Dead Man Walking,Brent Faiyaz,5VlTQnZO89Ioku8ssdbqJk,2020-09-18,77,247079,0.505,0.279,0.267,0.0,0.096,0.439,-13.763,0.05,143.929,9,4
333,417,Biking,Biking,Frank Ocean,2q0VexHJirnUPnEOhr2DxK,2017-04-10,69,277520,0.673,0.681,0.463,4.9e-06,0.0907,0.268,-7.247,0.191,147.981,2,4
334,418,MODUS,Nectar,Joji,5SjtAe7xzUgHDtNTmt8zS7,2020-09-25,69,207265,0.738,0.183,0.533,0.000252,0.115,0.262,-7.617,0.0492,132.008,7,4
335,419,Daylight,Nectar,Joji,6Ww8GHdPCl8MqZBhPn4LKd,2020-09-25,0,163905,0.526,0.00517,0.751,0.000112,0.0954,0.739,-7.573,0.0479,163.933,7,4
336,421,CPR,Last Day Of Summer,Summer Walker,5Tp4UJvnsF4Zd05k0zXUte,2018-10-19,63,203240,0.693,0.637,0.369,0.00335,0.0951,0.141,-12.683,0.175,140.148,7,4
337,422,Care,Into,Sonder,3tkxfORwPo2zydAf25YFOc,2017-01-27,56,164488,0.36,0.889,0.182,7.53e-06,0.117,0.098,-16.803,0.0388,126.721,10,3
338,423,Fuck The World (Summer in London),Fuck The World,Brent Faiyaz,2CzUlaKN1mvb0szagSR3ux,2020-02-07,72,236703,0.679,0.873,0.281,0.00335,0.215,0.234,-15.506,0.184,74.996,3,4
339,424,Ooh Nah Nah (feat. Masego),Ooh Nah Nah (feat. Masego),SiR,6NblUCwJXYkQlQ6LhcmSlQ,2017-01-23,57,240000,0.85,0.052,0.273,2.22e-06,0.104,0.572,-11.567,0.278,116.894,7,4
340,426,Come Through and Chill (feat. J. Cole & Salaam Remi),War & Leisure,Miguel,1m8WpLYXEiNVZchsWEcCSy,2017-12-01,69,322000,0.461,0.158,0.653,0.0,0.197,0.588,-8.617,0.327,81.628,6,1
341,427,Easy,Drive Slow,Mac Ayres,58dSdjfEYNSxte1aNVxuNf,2017-08-11,68,314357,0.722,0.373,0.282,0.00557,0.147,0.217,-7.484,0.106,91.367,5,4
342,428,Break from Toronto,PARTYNEXTDOOR,PARTYNEXTDOOR,79MSEdtXuudhGhC5AtG07g,2013-07-01,80,99213,0.596,0.0199,0.678,0.004,0.418,0.259,-5.18,0.0335,117.066,9,4
343,429,Wat's Wrong (feat. Zacari & Kendrick Lamar),The Sun's Tirade,Isaiah Rashad,2RPbEp0DyBVlkRvvYKopO7,2016-09-02,67,330783,0.706,0.151,0.688,0.0,0.466,0.313,-6.357,0.269,125.966,1,4
344,431,Proud Of U (feat. Young Thug),Mirrorland,EARTHGANG,4u8xrKWeF7xBO9kGwIk6u7,2019-09-06,56,238200,0.768,0.0691,0.456,0.0,0.162,0.39,-8.676,0.354,77.582,2,4
345,432,White Ferrari,Blonde,Frank Ocean,2LMkwUfqC6S6s6qDVlEuzV,2016-08-20,77,248807,0.444,0.784,0.0924,0.0,0.304,0.219,-15.605,0.0366,108.917,0,4
346,433,Lost,channel ORANGE,Frank Ocean,3GZD6HmiNUhxXYf8Gch723,2012-07-10,86,234093,0.913,0.0272,0.603,0.000503,0.167,0.497,-4.892,0.226,123.061,8,4
347,434,Painkiller,Free Time,Ruel,1YlulsUKDduOmC7WxvXYPW,2019-09-13,71,213506,0.683,0.0875,0.42,0.0,0.225,0.469,-6.51,0.0542,128.621,5,4
348,436,Crew (feat. Brent Faiyaz & Shy Glizzy),At What Cost,GoldLink,15EPc80XuFrb2LmOzGjuRg,2017-03-24,75,176702,0.728,0.133,0.607,0.0,0.0864,0.445,-8.417,0.132,129.938,1,4
349,437,Garden (Say It Like Dat),Ctrl,SZA,19woxaSpjOefa2JnAOoqW5,2017-06-09,70,208400,0.73,0.0705,0.457,0.0,0.124,0.549,-7.26,0.283,111.352,9,4
350,438,Floating (feat. Khalid),The Color Of You,Alina Baraz,2vLWF4yFhTHQZVwrPTjH1s,2018-04-06,67,174489,0.66,0.81,0.447,2.15e-06,0.11,0.578,-9.026,0.0482,84.95,1,4
351,439,Heebiejeebies - Bonus,Good For You,Aminé,32xx0fAv3CIeGmNaWTHvEF,2017-07-28,64,220160,0.765,0.423,0.5,0.0,0.108,0.495,-7.626,0.152,107.043,1,4
352,441,Leave The Door Open,Leave The Door Open,Bruno Mars,7MAibcTli4IisCtbHKrGMh,2021-03-05,45,242096,0.586,0.182,0.616,0.0,0.0927,0.719,-7.964,0.0324,148.088,5,4
353,442,Fight the Feeling,Macadelic (Remastered Edition),Mac Miller,2w9htZtkcbR48NCWzXjfvb,2012-03-23,68,301769,0.569,0.111,0.881,0.0,0.655,0.811,-5.873,0.365,148.067,11,4
354,443,Good News,Circles,Mac Miller,1DWZUa5Mzf2BwzpHtgbHPY,2020-01-17,75,342040,0.794,0.853,0.32,0.134,0.112,0.241,-12.92,0.173,174.088,1,4
355,444,Only You,"Doing It in Lagos: Boogie, Pop & Disco in 1980's Nigeria",Various Artists,3NcGNpeJ3rouV7fQ3dtv04,2016-12-09,1,381040,0.786,0.0552,0.921,0.00181,0.0629,0.628,-6.842,0.101,118.373,0,4
356,446,Mine,Mine,Mark Dohner,34Tzf7SbqK0xl0S4vfl5Uw,2021-04-23,32,155104,0.273,0.0521,0.546,0.0,0.101,0.37,-6.157,0.0433,199.323,0,4
357,447,What You Want,IMMIGRANT,Belly,2IYe9rxH98uKdiyXXqrDrr,2018-10-12,56,192680,0.513,0.111,0.842,0.0,0.0955,0.3,-3.917,0.47,163.954,2,4
358,448,Anita,Anita,Smino,09CqF6VVL6G7NwkCj3M2lU,2017-02-08,49,220157,0.779,0.206,0.581,0.0,0.146,0.804,-7.539,0.457,63.588,1,4
359,449,Familiar,Surf,Donnie Trumpet & The Social Experiment,6byH2KwTyfq76lucjvwX2I,2015-06-30,43,233617,0.804,0.28,0.387,0.0,0.0527,0.584,-9.56,0.255,104.065,11,4
360,451,Morning Sex,Morning Sex,Ralph Castelli,2fGRJzoiYJYAzlQAyBONMb,2019-06-07,75,175312,0.81,0.0473,0.353,0.000104,0.082,0.731,-9.536,0.0437,124.991,6,4
361,452,OUTTA MY MIND,OUTTA MY MIND,Monsune,7zTTDkkLkJ2iHAqq1daDCr,2019-08-30,65,226005,0.689,0.066,0.463,0.000152,0.145,0.864,-8.121,0.0365,86.998,2,4
362,453,Weekend Friend,Weekend Friend,Goth Babe,2d3QlXE6FXFDeodiS66yjM,2019-01-19,67,209454,0.409,0.032,0.594,0.0391,0.0904,0.212,-9.725,0.031,110.187,1,4
363,454,Drama (feat. Drake),Exis,Roy Woods,0PXp9QxBfSKGGpWUNaws2X,2015-07-31,75,251859,0.709,0.157,0.362,0.0,0.109,0.113,-9.814,0.055,122.043,11,4
364,456,Honesty,PINK PLANET,Pink Sweat$,19gCnDoMbugHhF7eMpLpe1,2021-02-12,70,189000,0.66,0.964,0.139,1.1e-05,0.105,0.312,-16.339,0.0323,79.975,6,4
365,457,Morning,Groovy People,Marc E. Bassy,54Yappwod1fELR5zb2gDBn,2016-08-05,65,206080,0.462,0.563,0.438,0.0,0.181,0.342,-8.227,0.0953,107.364,10,3
366,458,Dirty Water,Groovy People,Marc E. Bassy,52rbzvOCmHgprzUaMqZEPK,2016-08-05,56,161106,0.666,0.404,0.408,0.00251,0.0316,0.474,-7.464,0.0393,92.01,1,4
367,459,ROS,GO:OD AM,Mac Miller,388jD8ko9cvFM9cd9TYDrl,2015-09-18,66,343213,0.535,0.601,0.448,0.0,0.376,0.284,-8.919,0.175,120.554,1,4
368,461,Edition,Edition,Rex Orange County,1wz7B02oOtrTW6SNLG0cSk,2017-09-12,62,115000,0.86,0.807,0.332,0.0,0.106,0.26,-10.263,0.22,140.949,1,4
369,462,North Face,Analogue,ODIE,63bAGRSSX2V1hhPSP2NpBC,2018-04-06,70,196799,0.802,0.792,0.382,0.163,0.0783,0.581,-7.356,0.0312,99.969,10,4
370,463,Gettin' Old,FREE 6LACK,6LACK,1S4sxNGmCASkyRI08YhLtT,2016-11-18,53,215000,0.743,0.4,0.4,0.000311,0.111,0.229,-12.369,0.0625,80.01,11,4
371,464,Seasons (feat. Khalid),East Atlanta Love Letter,6LACK,1AROE0XcC4ySCxXF65mutZ,2018-09-14,63,250001,0.6,0.692,0.319,0.00958,0.137,0.507,-10.272,0.294,141.96,0,4
372,466,Penelope,Tsarina,Col3trane,75w3hkYlT7dH1IWXMqBdq9,2018-04-06,49,274768,0.552,0.103,0.391,0.0,0.173,0.362,-9.487,0.401,87.993,4,4
373,467,PCH,CTV2,Jaden,3Ju7HGke5GYEXUJ3YWGOry,2014,56,351202,0.642,0.102,0.44,0.002,0.108,0.123,-10.909,0.0745,90.939,9,4
374,468,Unwind,Subluxe,Healy,31ZurLH7s71LBJXO003zpy,2017,53,234997,0.812,0.296,0.349,0.029,0.0951,0.409,-7.566,0.0429,123.983,6,4
375,469,Lens,Lens,Frank Ocean,371H6HjS4SXGbQ9IVfFUIL,2017-04-23,58,227654,0.681,0.588,0.333,0.0,0.086,0.564,-8.582,0.0974,118.05,9,4
376,471,West,Indigo,River Tiber,2R5GzHdM4xdA8HNLIF8lOY,2016-06-24,55,152250,0.265,0.899,0.473,0.078,0.226,0.143,-8.379,0.0447,120.909,8,3
377,472,Mystery Lady,Studying Abroad: Extended Stay,Masego,0bkTdkWwGk3OGFX0afD3Wj,2020-11-13,70,228453,0.747,0.393,0.494,0.0,0.0982,0.624,-7.957,0.141,76.006,3,4
378,473,Godspeed,Blonde,Frank Ocean,34xTFwjPQ1dC6uJmleno7x,2016-08-20,74,177922,0.421,0.931,0.0952,0.000201,0.126,0.0773,-12.561,0.0479,109.698,6,4
379,474,Postclubridehomemusic,Peder,Lido,1D1OGqiNpybJDsbFYSH5kc,2020-09-18,4,227040,0.671,0.349,0.361,1.08e-06,0.108,0.447,-11.764,0.236,76.95,11,4
380,476,Between the Lines (feat. Chris Lee),Free Pxrn: The Memoir of an American Heathen,Jase Harley,1zpLBaEx3KX98Cknyi9Ai1,2016-03-18,45,225228,0.838,0.429,0.374,0.0013,0.131,0.28,-11.991,0.112,120.013,0,4
381,477,Violet,Violet,Daniel Caesar,22jnEneSABg4vRCR1vow7F,2015-07-01,60,144000,0.688,0.748,0.425,0.00548,0.101,0.179,-8.134,0.027,129.975,4,4
382,478,Sometimes,"Shades, Pt. 1",Caye,09pjMhfwFGB5TKEQLBdcMX,2016-10-10,33,201038,0.521,0.135,0.33,4.37e-05,0.0962,0.199,-11.752,0.0853,153.374,5,3
383,479,Come Back to Earth,Swimming,Mac Miller,01z2fBGB8Hl3Jd3zXe4IXR,2018-08-03,73,161840,0.272,0.89,0.238,0.00925,0.275,0.119,-12.148,0.0349,83.507,2,4
384,481,My Favorite Part,The Divine Feminine,Mac Miller,66wkCYWlXzSTQAfnsPBptt,2016-09-16,73,216000,0.861,0.627,0.33,1.93e-06,0.14,0.718,-7.194,0.0526,95.016,6,4
385,482,Slow It Down,Slow It Down,Zaia,3xLXMPhcO310sEYPfXh4Ic,2017-04-21,32,206000,0.555,0.795,0.557,3.87e-05,0.121,0.346,-8.763,0.251,155.056,0,4
386,483,Ruby Red,S!ck S!ck S!ck,Smino,0E6GxVs1NLV9FxK9rK4K1G,2016-12-01,42,264125,0.568,0.507,0.515,0.0,0.0997,0.26,-9.212,0.474,126.819,5,4
387,484,Pisces,Found.,RIZ LA VIE,3HZsYrpRboqKdL3tOltQTi,2017-01-17,48,255929,0.708,0.763,0.38,0.0,0.123,0.217,-9.088,0.0948,113.1,3,4
388,486,CYANIDE,CASE STUDY 01,Daniel Caesar,3uouaAVXpQR3X8RYkJyitQ,2019-06-28,71,194959,0.589,0.704,0.652,0.00055,0.125,0.486,-7.498,0.373,158.49,10,4
389,487,Wild Irish Roses,blkswn,Smino,6efkcs2aUBMFKxl0cl2JWQ,2017-03-14,67,169319,0.639,0.554,0.295,3.09e-05,0.3,0.634,-11.237,0.544,86.947,0,4
390,488,Caretaker (feat. SZA),Gahdamn!,Shelley FKA DRAM,4XQQovRSltOGWevTCgacXY,2015-10-23,58,171373,0.614,0.78,0.275,0.0,0.119,0.165,-12.804,0.186,130.664,2,4
391,489,Amphetamine,blkswn,Smino,3Zau3JcrZcBfw8aVjKGkSX,2017-03-14,63,469830,0.619,0.715,0.532,1.33e-05,0.0953,0.401,-9.554,0.515,120.019,5,4
392,491,Take Me Away (feat. Syd),Freudian,Daniel Caesar,3E895HtTn6lB40SA0l9EkL,2017-08-25,60,226116,0.395,0.708,0.409,1.62e-05,0.0982,0.193,-8.58,0.056,74.088,6,4
393,492,All the Time,All the Time,Souly Had,6fnogme1RNJKay9aCJNJaa,2017-02-22,51,177855,0.589,0.322,0.313,0.0,0.105,0.0905,-10.001,0.137,164.573,0,3
394,493,Might Be,Venice,Anderson .Paak,2WlOO5UM3eoEQt7Z2z3PU1,2014-10-28,55,237165,0.684,0.357,0.585,1.23e-06,0.728,0.335,-7.601,0.0712,148.507,2,4
395,494,Lock It Up (feat. Kehlani),"Only The Poets Mixtape, Vol. 1",Marc E. Bassy,6uT9XRrPvimLt62FNjMNBv,2014-07-29,46,226220,0.738,0.653,0.443,0.0,0.103,0.687,-9.614,0.0707,127.084,5,4
396,496,Netflix & Dusse,blkswn,Smino,4hP7NIeToP2hU6lyvIHPyp,2017-03-14,53,259338,0.729,0.441,0.329,0.0,0.32,0.159,-9.703,0.529,79.958,7,4
397,497,Stay,The Divine Feminine,Mac Miller,4brX8MJs5hxErgq48f9REO,2016-09-16,66,326426,0.742,0.566,0.561,0.000135,0.641,0.55,-7.017,0.139,134.01,6,4
398,498,Moonlight in Atlanta,Moonlight in Atlanta,Russ,4vzV11MKDc82D9r1YV61MQ,2016-01-15,59,163500,0.514,0.891,0.32,0.0,0.0977,0.236,-9.669,0.144,76.916,9,4
399,499,Herside Story,At What Cost,GoldLink,564oa00vY05d1uYnTEAAmE,2017-03-24,63,183760,0.885,0.656,0.595,4.42e-06,0.105,0.754,-5.487,0.286,148.034,7,4
400,501,Living Single,Living Single,Big Sean,36xxq7VDZZsGwARsn6Clo7,2016-12-17,65,276346,0.714,0.223,0.62,0.0,0.109,0.73,-5.045,0.296,80.109,11,4
401,502,The Need to Know (feat. SZA),The Album About Nothing,Wale,6KacmqPPQ3LNoiGFuqGChs,2015-03-31,65,216831,0.537,0.487,0.411,9.21e-06,0.3,0.207,-14.059,0.502,94.292,7,4
402,503,Good Days,Good Days,SZA,3YJJjQPAbDT7mGpX3WtQ9A,2020-12-25,83,279204,0.436,0.499,0.655,8.1e-06,0.688,0.412,-8.37,0.0583,121.002,1,4
403,504,Pretty Little Birds (feat. Isaiah Rashad),Ctrl,SZA,1IgePMOW0qEe1AViWgkal9,2017-06-09,60,245946,0.362,0.223,0.518,0.00314,0.316,0.348,-7.687,0.306,89.667,1,4
404,506,"Gravity (feat. Tyler, The Creator)","Gravity (feat. Tyler, The Creator)",Brent Faiyaz,6u3CPnFMKANYgfdiifFOiJ,2021-01-29,76,214692,0.539,0.173,0.615,0.0056,0.144,0.493,-8.746,0.252,163.924,1,4
405,507,Nostalgia,Nostalgia,JON VINYL,6BxEC2zFvtIwqDYmRCvv5E,2017-10-04,38,166408,0.683,0.248,0.524,5.7e-06,0.0744,0.355,-11.068,0.26,74.989,10,4
406,508,The Ways (with Swae Lee),Black Panther The Album Music From And Inspired By,Kendrick Lamar,5jyyPsIGM2yqkZN9R3TmvN,2018-02-09,63,238893,0.727,0.0626,0.72,1.21e-06,0.176,0.589,-5.856,0.0488,140.08,11,4
407,509,Sheba With Angel Mae,Preacher's Son,YGTUT,4FwWyejS6KrYsKFxRtweHz,2015-05-02,38,137196,0.712,0.597,0.351,1.85e-06,0.132,0.358,-14.047,0.389,129.928,11,4
408,511,She Knows About Me,Waking at Dawn,Roy Woods,2bxG0N7YsdkIBfuLsE0J8i,2016-07-01,50,220408,0.445,0.751,0.541,0.0,0.199,0.377,-7.407,0.0816,81.656,9,4
409,512,Sunroof,Thirst 48 Part II,WESTSIDE BOOGIE,1FunRKEGHk2OywxjdDa3xr,2016-10-14,53,237253,0.698,0.285,0.671,0.0,0.0913,0.534,-6.112,0.188,113.944,5,4
410,513,Could've Been (feat. Bryson Tiller),I Used To Know Her,H.E.R.,6oEVnWKgPqIEPc53OYDNqG,2019-08-30,75,252746,0.45,0.649,0.352,3.8e-06,0.249,0.408,-11.733,0.267,102.679,1,4
411,514,"Yo Love - From ""Queen & Slim: The Soundtrack""","Yo Love (From ""Queen & Slim: The Soundtrack"")",Vince Staples,3Vj8RQkFwOmDvUrwu6MtQZ,2019-11-11,66,143830,0.703,0.565,0.573,3.13e-06,0.0987,0.491,-9.032,0.0724,147.038,0,4
412,516,Could've Been (feat. Bryson Tiller),I Used To Know Her,H.E.R.,6oEVnWKgPqIEPc53OYDNqG,2019-08-30,75,252746,0.45,0.649,0.352,3.8e-06,0.249,0.408,-11.733,0.267,102.679,1,4
413,517,Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),Free Nationals,Free Nationals,0cciBj4236w1xByzZvn92D,2019-12-13,72,277046,0.552,0.284,0.741,8.2e-05,0.334,0.718,-5.419,0.0542,69.709,11,4
414,518,Mystery Lady,Studying Abroad: Extended Stay,Masego,0bkTdkWwGk3OGFX0afD3Wj,2020-11-13,70,228453,0.747,0.393,0.494,0.0,0.0982,0.624,-7.957,0.141,76.006,3,4
415,519,Smoke,Daughter of the Sun,vbnd,3KdqW7vrStW0VIp1Pfk0cq,2018-07-06,47,222115,0.861,0.457,0.125,0.421,0.101,0.4,-16.482,0.0708,78.036,0,4
416,521,Fake Love,Fake Love,William Singe,5GRAeHxQLh6GXPxlTZREWN,2016-12-12,44,160182,0.658,0.18,0.324,0.0,0.0935,0.502,-10.894,0.437,114.631,9,4
417,522,Priorities,B4 the Heartbreak,Sy Ari Da Kid,7KKSmSsR1Giz5nFrlelbd9,2016-02-04,45,341974,0.488,0.795,0.169,0.0,0.0968,0.208,-15.681,0.0771,93.76,4,4
418,523,Every Kind Of Way,H.E.R. Volume 2,H.E.R.,71AaGUlQ7I5dRgDEQpdnI4,2017-06-16,59,160160,0.45,0.634,0.3,3.1e-06,0.142,0.207,-9.53,0.0477,96.394,7,4
419,524,Invite Me,Invite Me,Brent Faiyaz,1nzbFLItWk2ZXrx8jvTmdZ,2016-06-01,54,194552,0.498,0.579,0.449,0.0,0.191,0.256,-7.492,0.038,127.827,9,4
420,526,Patiently,Whatever Makes U Happy,JMSN,3o9yzDhGVqfjUZHvcvA6oF,2017-04-28,38,224080,0.721,0.479,0.296,1.39e-05,0.108,0.18,-9.869,0.0398,110.063,2,3
421,527,All Bad,The Never Story,JID,0G6ExlA2fcJIDGoayswUNT,2017-03-10,55,291760,0.538,0.854,0.238,0.0482,0.11,0.507,-14.541,0.316,78.881,11,1
422,528,I KNO V3,I KNO V3,Victor Internet,4S8vtRJ78uTUGvTZF3dEmR,2019-12-13,40,148645,0.851,0.495,0.533,1.12e-05,0.108,0.602,-6.462,0.262,77.499,9,4
423,529,Killing Me,Killing Me,Omar Apollo,1vghSeMBb7AIMT3JaMrlHO,2022-03-11,40,165320,0.861,0.301,0.27,0.00288,0.124,0.608,-9.515,0.0616,84.004,6,4
424,531,Freakin' Out On the Interstate,Freakin' Out On The Interstate (Acoustic Version [Live]),Briston Maroney,0awZwmlC6pxH65KTZpadmX,2020-07-10,71,251906,0.45,0.388,0.794,0.0,0.303,0.362,-5.015,0.0538,143.861,4,4
425,532,Navajo,Navajo,Masego,6zWU7YALeEDMcPGhKKZJhV,2017-06-08,68,194157,0.567,0.117,0.593,1.32e-06,0.248,0.358,-7.404,0.288,88.545,6,4
426,533,Yours,Yours,SG Lewis,7uNWZOCm6TphuTnwpDUUjN,2016-05-23,46,230540,0.68,0.549,0.241,2.54e-05,0.222,0.211,-11.448,0.247,127.908,6,4
427,534,Don't Beg,Foreign Water,JAHKOY,0H0vPgfSGvt3g4X4Fnmr2N,2016-10-28,35,176346,0.441,0.406,0.365,0.000218,0.101,0.077,-10.002,0.0514,79.782,6,4
428,536,Feels Like Summer,Summer Pack,Childish Gambino,7p4vHnYXkxlzvfePJVpcTr,2018-07-11,73,297404,0.55,0.162,0.596,0.00481,0.0805,0.253,-8.214,0.134,165.736,7,4
429,537,Super Rich Kids,channel ORANGE,Frank Ocean,0725YWm6Z0TpZ6wrNk64Eb,2012-07-10,74,304760,0.739,0.219,0.419,0.0,0.196,0.58,-8.241,0.0854,60.493,3,4
430,538,"III. Telegraph Ave. (""Oakland"" by Lloyd)",Because the Internet,Childish Gambino,0VXfZi7XhfJnuBvF6XiypU,2013-12-10,64,210673,0.496,0.159,0.693,0.0261,0.142,0.597,-9.576,0.247,129.929,5,4
431,539,Invincible (feat. Daniel Caesar),Ivory,Omar Apollo,7jhxagwOk9y1HC5ciRfmkQ,2022-04-08,66,216160,0.555,0.224,0.474,0.00426,0.162,0.262,-11.706,0.0668,134.89,6,4
432,541,Candy Wrappers,So Polite,Summer Salt,2WrzwxqDxBWcWYkk9DAJ9j,2017-07-18,58,194418,0.691,0.696,0.546,0.415,0.302,0.483,-7.33,0.0263,95.047,5,4
433,542,About You,About You,Sik World,3t9nJ079F1nheAdUqijyWe,2021-03-31,46,173350,0.729,0.0886,0.441,8.67e-05,0.172,0.186,-9.088,0.135,143.935,2,4
434,543,Better Alone,Better Alone,Sik World,43xRBcCOtRbD9NdruGkt9Y,2021-07-21,42,163902,0.694,0.421,0.583,0.0,0.0901,0.444,-8.852,0.717,81.583,8,4
435,544,Dead End,Dead End,Jan Metternich,0BmHLzYMid4yN5BSVUiilM,2021-01-29,51,193600,0.71,0.701,0.356,0.0,0.0988,0.542,-12.336,0.079,150.062,3,4
436,546,Nobody Else,Nobody Else,Jan Metternich,5NGPmUf2qf4kHb8qb1REBP,2022-05-20,47,136727,0.573,0.225,0.611,0.0,0.106,0.405,-8.602,0.0526,165.007,10,4
