,index,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
87,109,My Vibe,My Vibe,Mt. Joy,6mf82AFoXnHzIo7sOxfFcH,2020-04-09,0,157266,0.673,0.493,0.704,2.04e-06,0.0732,0.578,-5.766,0.0339,93.547,6,4
88,111,Zeus,Zeus,Croosh,0NbxvadJQOnlwk3cFbhDNV,2016-12-17,46,150622,0.889,0.413,0.324,0.0,0.09,0.577,-7.55,0.0468,110.041,5,4
89,112,Too Deep,SEPT 5TH,dvsn,3uSSjnDMmoyERaAK9KvpJR,2016-03-27,60,200223,0.616,0.284,0.243,0.149,0.264,0.56,-13.975,0.103,183.948,9,4
90,113,Good Love,Good Love,11:11,37YyskMNuGKjKwjifDaHzB,2017-06-13,39,266281,0.646,0.689,0.325,3.55e-06,0.084,0.321,-7.941,0.0311,127.894,11,4
91,114,Best Part (feat. H.E.R.),H.E.R.,H.E.R.,4OBZT9EnhYIV17t4pGw7ig,2017-10-20,73,209400,0.473,0.793,0.371,0.0,0.109,0.413,-10.219,0.0405,75.205,4,4
92,116,Cool Side Of The Pillow,Cool Side Of The Pillow,Kyle Dion,1UBCUQp3areFyJZjTwLz9g,2017-07-15,39,223781,0.479,0.409,0.646,0.0,0.174,0.369,-7.205,0.207,149.096,5,4
93,117,Stoop So Low,Stoop So Low,Alextbh,3DNsBFRbQWxygrn4UsqvTF,2016-11-07,49,197938,0.426,0.67,0.397,0.0,0.109,0.335,-9.089,0.0546,87.424,4,1
94,118,If This Is Love,The Everlasting Wave,Xavier Omär,2v9TxPdblHMBRir1y9uIqw,2016-10-15,47,220300,0.74,0.226,0.472,0.000208,0.225,0.305,-9.757,0.0989,104.044,0,4
95,119,Sativa,Trip,Jhené Aiko,2pg2TiYo9Rb8KeB5JjP7jS,2017-09-22,75,276960,0.741,0.316,0.61,0.0,0.534,0.72,-7.34,0.0511,125.99,6,4
96,121,Late Night Drive,Late Night Drive,Yo Trane,0K83VVfg5Y4bPoZ4kmytKH,2016-04-19,53,252371,0.491,0.382,0.375,0.0,0.103,0.19,-10.031,0.2,97.116,6,4
97,122,Belong to You (feat. 6LACK),About Time,Sabrina Claudio,2I88NEWpKrAPZuapXNV5G6,2017-10-05,65,185617,0.605,0.274,0.553,0.0152,0.184,0.62,-10.845,0.101,152.076,10,4
98,123,Searchin,Into,Sonder,2WcPWXOjoDKDVouyyWV8Eq,2017-01-27,55,264242,0.718,0.148,0.396,1.08e-05,0.176,0.338,-12.539,0.0357,103.994,10,4
99,124,Who Hurt You?,Who Hurt You?,Daniel Caesar,23c9gmiiv7RCu7twft0Mym,2018-10-16,69,231964,0.649,0.586,0.493,0.000167,0.0667,0.277,-7.645,0.11,104.542,11,4
100,126,Carry Me Home,Project 11,Jorja Smith,6fracv4du3sDwo1XKcPrkw,2016-11-17,58,282329,0.471,0.633,0.352,2.75e-05,0.115,0.102,-9.699,0.0391,118.333,2,3
101,127,Lil Thing,Lil Thing,Knox Fortune,3q6ygCZID0OKj6MUxInB48,2017-07-21,51,206967,0.713,0.262,0.755,0.000114,0.0947,0.625,-4.577,0.151,155.939,7,4
102,128,Memory,Memory,Mark Dohner,76NisTyoEBtIfKRxduYgZx,2020-03-20,40,188915,0.648,0.308,0.466,0.0,0.407,0.147,-9.479,0.0451,129.87,7,4
103,129,No Love in LA,No Love in LA,Mark Dohner,7uvspaECmvMLTx8gJGBZOC,2020-01-31,33,162967,0.729,0.0601,0.629,1.21e-05,0.151,0.35,-6.344,0.0472,98.045,7,4
104,131,Feel,Into,Sonder,1uverlfbbG8InEPioAwB8y,2017-01-27,54,232502,0.455,0.525,0.255,0.00176,0.382,0.195,-14.512,0.0377,131.959,6,4
105,132,El Dorado,Peak,Choker,6x93hzBoL7HpirMN2P48co,2017-05-06,45,230400,0.469,0.0127,0.697,0.000116,0.329,0.362,-5.815,0.0312,149.921,4,4
106,133,Smile,Smile,Leven Kali,5Wbjjde5ez7sx22OtmrXKV,2017-05-25,53,218050,0.772,0.192,0.551,0.00175,0.108,0.635,-8.667,0.099,104.969,0,4
107,134,Stay Down,Sonder Son,Brent Faiyaz,4mwiRPRAUSSFD6lJ86m98B,2017-10-13,61,207325,0.551,0.617,0.301,1.1e-05,0.136,0.488,-13.065,0.111,84.695,11,4
108,136,American Money,Dopamine,BØRNS,4AewKenHXKBt643p473xCk,2015-10-16,68,260986,0.542,0.0226,0.867,0.00347,0.116,0.326,-5.26,0.0813,134.984,6,4
109,137,Baianá,Baianá,Bakermat,3iCO0ZekWPK6rmLnDjejLB,2019-10-31,49,180842,0.564,0.000741,0.723,0.672,0.543,0.466,-6.983,0.0702,121.97,2,4
110,138,Talk Too Much,How Will You Know If You Never Try,COIN,4djIFfof5TpbSGRZUpsTXq,2017-04-21,73,187133,0.598,0.00947,0.888,0.0,0.347,0.482,-5.119,0.0807,103.966,4,4
111,139,NUMB,NUMB,Hayden James,4JEwMJFPyAl6nNw0UQTwIu,2017-10-06,0,217296,0.623,0.194,0.562,0.0,0.091,0.411,-7.08,0.0415,147.906,10,4
112,141,Been Away,Fuck The World,Brent Faiyaz,5PvVkf1Yuq3XyMqqjPiKPd,2020-02-07,71,223629,0.602,0.477,0.5,5.69e-05,0.295,0.395,-9.377,0.298,132.798,8,4
113,142,INNERSTATE,INNERSTATE,Zaia,5yQK2KygOPaDjgFutqlqRv,2020-04-24,29,162773,0.714,0.00518,0.609,0.018,0.116,0.247,-7.811,0.0599,167.89,0,4
114,143,The Worst In Me,BUBBA,KAYTRANADA,4cOVTA2GfYTHw99AJDQpHo,2019-12-13,58,226720,0.784,0.00936,0.645,0.000132,0.117,0.59,-7.325,0.402,109.978,10,4
115,144,Rehab (Winter In Paris),Fuck The World,Brent Faiyaz,0zWbYGQq5O1KQd0iqzgjP6,2020-02-07,71,180303,0.549,0.809,0.242,8.1e-05,0.127,0.286,-11.692,0.038,144.211,5,4
116,146,Biking,Biking,Frank Ocean,2q0VexHJirnUPnEOhr2DxK,2017-04-10,69,277520,0.673,0.681,0.463,4.9e-06,0.0907,0.268,-7.247,0.191,147.981,2,4
117,147,MODUS,Nectar,Joji,5SjtAe7xzUgHDtNTmt8zS7,2020-09-25,69,207265,0.738,0.183,0.533,0.000252,0.115,0.262,-7.617,0.0492,132.008,7,4
118,148,Daylight,Nectar,Joji,6Ww8GHdPCl8MqZBhPn4LKd,2020-09-25,0,163905,0.526,0.00517,0.751,0.000112,0.0954,0.739,-7.573,0.0479,163.933,7,4
119,149,Gimme Love,Nectar,Joji,0HItcI6qN6Dr4MC3CZryQh,2020-09-25,73,214557,0.484,0.695,0.632,0.0243,0.209,0.0736,-6.917,0.0976,126.384,5,3
120,151,Care,Into,Sonder,3tkxfORwPo2zydAf25YFOc,2017-01-27,56,164488,0.36,0.889,0.182,7.53e-06,0.117,0.098,-16.803,0.0388,126.721,10,3
121,152,Fuck The World (Summer in London),Fuck The World,Brent Faiyaz,2CzUlaKN1mvb0szagSR3ux,2020-02-07,72,236703,0.679,0.873,0.281,0.00335,0.215,0.234,-15.506,0.184,74.996,3,4
122,153,Ooh Nah Nah (feat. Masego),Ooh Nah Nah (feat. Masego),SiR,6NblUCwJXYkQlQ6LhcmSlQ,2017-01-23,57,240000,0.85,0.052,0.273,2.22e-06,0.104,0.572,-11.567,0.278,116.894,7,4
123,154,Mood,Morning After,dvsn,4L1eqdFY10yO7tMzvRp0sx,2017-10-13,51,215044,0.622,0.318,0.446,0.0135,0.0904,0.168,-9.647,0.22,68.85,9,4
124,156,Easy,Drive Slow,Mac Ayres,58dSdjfEYNSxte1aNVxuNf,2017-08-11,68,314357,0.722,0.373,0.282,0.00557,0.147,0.217,-7.484,0.106,91.367,5,4
125,157,Break from Toronto,PARTYNEXTDOOR,PARTYNEXTDOOR,79MSEdtXuudhGhC5AtG07g,2013-07-01,80,99213,0.596,0.0199,0.678,0.004,0.418,0.259,-5.18,0.0335,117.066,9,4
126,158,Wat's Wrong (feat. Zacari & Kendrick Lamar),The Sun's Tirade,Isaiah Rashad,2RPbEp0DyBVlkRvvYKopO7,2016-09-02,67,330783,0.706,0.151,0.688,0.0,0.466,0.313,-6.357,0.269,125.966,1,4
127,159,Free Lunch,The Sun's Tirade,Isaiah Rashad,5FX89IUKm9QJT9ymrmyK4k,2016-09-02,59,192029,0.865,0.223,0.472,5.39e-05,0.109,0.843,-7.359,0.237,130.011,11,4
128,161,White Ferrari,Blonde,Frank Ocean,2LMkwUfqC6S6s6qDVlEuzV,2016-08-20,77,248807,0.444,0.784,0.0924,0.0,0.304,0.219,-15.605,0.0366,108.917,0,4
129,162,Lost,channel ORANGE,Frank Ocean,3GZD6HmiNUhxXYf8Gch723,2012-07-10,86,234093,0.913,0.0272,0.603,0.000503,0.167,0.497,-4.892,0.226,123.061,8,4
130,163,Painkiller,Free Time,Ruel,1YlulsUKDduOmC7WxvXYPW,2019-09-13,71,213506,0.683,0.0875,0.42,0.0,0.225,0.469,-6.51,0.0542,128.621,5,4
131,164,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,6tDDoYIxWvMLTdKpjFkc1B,2020-12-04,83,160191,0.653,0.112,0.524,0.0,0.203,0.553,-9.016,0.0502,83.97,11,4
132,166,Garden (Say It Like Dat),Ctrl,SZA,19woxaSpjOefa2JnAOoqW5,2017-06-09,70,208400,0.73,0.0705,0.457,0.0,0.124,0.549,-7.26,0.283,111.352,9,4
133,167,Floating (feat. Khalid),The Color Of You,Alina Baraz,2vLWF4yFhTHQZVwrPTjH1s,2018-04-06,67,174489,0.66,0.81,0.447,2.15e-06,0.11,0.578,-9.026,0.0482,84.95,1,4
134,168,Heebiejeebies - Bonus,Good For You,Aminé,32xx0fAv3CIeGmNaWTHvEF,2017-07-28,64,220160,0.765,0.423,0.5,0.0,0.108,0.495,-7.626,0.152,107.043,1,4
135,169,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,4iJyoBOLtHqaGxP12qzhQI,2021-03-19,87,198081,0.677,0.321,0.696,0.0,0.42,0.464,-6.181,0.119,90.03,0,4
136,171,Fight the Feeling,Macadelic (Remastered Edition),Mac Miller,2w9htZtkcbR48NCWzXjfvb,2012-03-23,68,301769,0.569,0.111,0.881,0.0,0.655,0.811,-5.873,0.365,148.067,11,4
137,172,Good News,Circles,Mac Miller,1DWZUa5Mzf2BwzpHtgbHPY,2020-01-17,75,342040,0.794,0.853,0.32,0.134,0.112,0.241,-12.92,0.173,174.088,1,4
138,173,Only You,"Doing It in Lagos: Boogie, Pop & Disco in 1980's Nigeria",Various Artists,3NcGNpeJ3rouV7fQ3dtv04,2016-12-09,1,381040,0.786,0.0552,0.921,0.00181,0.0629,0.628,-6.842,0.101,118.373,0,4
139,174,Juno,Honeybloom,Choker,6OpU3cvY19M2hFxTbLKy5L,2018-08-03,59,231680,0.438,0.922,0.266,0.000298,0.148,0.116,-12.863,0.0363,120.075,7,4
140,176,What You Want,IMMIGRANT,Belly,2IYe9rxH98uKdiyXXqrDrr,2018-10-12,56,192680,0.513,0.111,0.842,0.0,0.0955,0.3,-3.917,0.47,163.954,2,4
141,177,Anita,Anita,Smino,09CqF6VVL6G7NwkCj3M2lU,2017-02-08,49,220157,0.779,0.206,0.581,0.0,0.146,0.804,-7.539,0.457,63.588,1,4
142,178,Familiar,Surf,Donnie Trumpet & The Social Experiment,6byH2KwTyfq76lucjvwX2I,2015-06-30,43,233617,0.804,0.28,0.387,0.0,0.0527,0.584,-9.56,0.255,104.065,11,4
143,179,Needs,Needs,Verzache,0WKmVAD4VWk5EdTyCFILi4,2018-02-14,69,177479,0.813,0.189,0.601,0.0002,0.426,0.855,-7.552,0.116,118.981,11,4
144,181,OUTTA MY MIND,OUTTA MY MIND,Monsune,7zTTDkkLkJ2iHAqq1daDCr,2019-08-30,65,226005,0.689,0.066,0.463,0.000152,0.145,0.864,-8.121,0.0365,86.998,2,4
145,182,Weekend Friend,Weekend Friend,Goth Babe,2d3QlXE6FXFDeodiS66yjM,2019-01-19,67,209454,0.409,0.032,0.594,0.0391,0.0904,0.212,-9.725,0.031,110.187,1,4
146,183,Drama (feat. Drake),Exis,Roy Woods,0PXp9QxBfSKGGpWUNaws2X,2015-07-31,75,251859,0.709,0.157,0.362,0.0,0.109,0.113,-9.814,0.055,122.043,11,4
147,184,Pretty Little Fears (feat. J. Cole),East Atlanta Love Letter,6LACK,4at3d5QWnlibMVN75ECDrp,2018-09-14,74,240341,0.61,0.696,0.458,0.000103,0.0852,0.246,-11.336,0.36,192.099,9,4
148,186,Morning,Groovy People,Marc E. Bassy,54Yappwod1fELR5zb2gDBn,2016-08-05,65,206080,0.462,0.563,0.438,0.0,0.181,0.342,-8.227,0.0953,107.364,10,3
149,187,Dirty Water,Groovy People,Marc E. Bassy,52rbzvOCmHgprzUaMqZEPK,2016-08-05,56,161106,0.666,0.404,0.408,0.00251,0.0316,0.474,-7.464,0.0393,92.01,1,4
150,188,ROS,GO:OD AM,Mac Miller,388jD8ko9cvFM9cd9TYDrl,2015-09-18,66,343213,0.535,0.601,0.448,0.0,0.376,0.284,-8.919,0.175,120.554,1,4
151,189,Banana Clip,War & Leisure,Miguel,6xagjcywpcyNFghafZPQJv,2017-12-01,62,201626,0.638,0.0973,0.708,0.0,0.177,0.606,-5.342,0.0754,84.978,1,4
152,191,North Face,Analogue,ODIE,63bAGRSSX2V1hhPSP2NpBC,2018-04-06,70,196799,0.802,0.792,0.382,0.163,0.0783,0.581,-7.356,0.0312,99.969,10,4
153,192,Gettin' Old,FREE 6LACK,6LACK,1S4sxNGmCASkyRI08YhLtT,2016-11-18,53,215000,0.743,0.4,0.4,0.000311,0.111,0.229,-12.369,0.0625,80.01,11,4
154,193,Seasons (feat. Khalid),East Atlanta Love Letter,6LACK,1AROE0XcC4ySCxXF65mutZ,2018-09-14,63,250001,0.6,0.692,0.319,0.00958,0.137,0.507,-10.272,0.294,141.96,0,4
155,194,We Fcuk,Summer's Over,JAYLIEN,1Gl5q0YIz7WfYqZQOV4FPd,2016-07-15,46,155520,0.614,0.245,0.686,0.0,0.0659,0.281,-6.141,0.214,85.023,1,4
156,196,PCH,CTV2,Jaden,3Ju7HGke5GYEXUJ3YWGOry,2014,56,351202,0.642,0.102,0.44,0.002,0.108,0.123,-10.909,0.0745,90.939,9,4
157,197,Unwind,Subluxe,Healy,31ZurLH7s71LBJXO003zpy,2017,53,234997,0.812,0.296,0.349,0.029,0.0951,0.409,-7.566,0.0429,123.983,6,4
158,198,Lens,Lens,Frank Ocean,371H6HjS4SXGbQ9IVfFUIL,2017-04-23,58,227654,0.681,0.588,0.333,0.0,0.086,0.564,-8.582,0.0974,118.05,9,4
159,199,Her,A Place Like This,Majid Jordan,6GatnDEhYQLOdRzdVbJaky,2014-07-17,59,300728,0.675,0.00372,0.5,0.00268,0.114,0.0709,-6.6,0.0516,90.029,1,4
160,201,Mystery Lady,Studying Abroad: Extended Stay,Masego,0bkTdkWwGk3OGFX0afD3Wj,2020-11-13,70,228453,0.747,0.393,0.494,0.0,0.0982,0.624,-7.957,0.141,76.006,3,4
161,202,Godspeed,Blonde,Frank Ocean,34xTFwjPQ1dC6uJmleno7x,2016-08-20,74,177922,0.421,0.931,0.0952,0.000201,0.126,0.0773,-12.561,0.0479,109.698,6,4
162,203,Postclubridehomemusic,Peder,Lido,1D1OGqiNpybJDsbFYSH5kc,2020-09-18,4,227040,0.671,0.349,0.361,1.08e-06,0.108,0.447,-11.764,0.236,76.95,11,4
163,204,Cinderella (feat. Ty Dolla $ign),The Divine Feminine,Mac Miller,2lpygKqzPFtItQ4ss3cgfb,2016-09-16,68,480186,0.545,0.235,0.534,0.0,0.345,0.24,-6.874,0.047,140.021,8,4
164,206,Violet,Violet,Daniel Caesar,22jnEneSABg4vRCR1vow7F,2015-07-01,60,144000,0.688,0.748,0.425,0.00548,0.101,0.179,-8.134,0.027,129.975,4,4
165,207,Sometimes,"Shades, Pt. 1",Caye,09pjMhfwFGB5TKEQLBdcMX,2016-10-10,33,201038,0.521,0.135,0.33,4.37e-05,0.0962,0.199,-11.752,0.0853,153.374,5,3
166,208,Come Back to Earth,Swimming,Mac Miller,01z2fBGB8Hl3Jd3zXe4IXR,2018-08-03,73,161840,0.272,0.89,0.238,0.00925,0.275,0.119,-12.148,0.0349,83.507,2,4
167,209,Reasons,Reasons,Khalid,5hrT5sukNbTb6xKPyYdo0I,2016-12-02,50,232024,0.76,0.033,0.497,0.0,0.0885,0.205,-7.838,0.147,128.062,5,4
168,211,Slow It Down,Slow It Down,Zaia,3xLXMPhcO310sEYPfXh4Ic,2017-04-21,32,206000,0.555,0.795,0.557,3.87e-05,0.121,0.346,-8.763,0.251,155.056,0,4
169,212,Ruby Red,S!ck S!ck S!ck,Smino,0E6GxVs1NLV9FxK9rK4K1G,2016-12-01,42,264125,0.568,0.507,0.515,0.0,0.0997,0.26,-9.212,0.474,126.819,5,4
170,213,Pisces,Found.,RIZ LA VIE,3HZsYrpRboqKdL3tOltQTi,2017-01-17,48,255929,0.708,0.763,0.38,0.0,0.123,0.217,-9.088,0.0948,113.1,3,4
171,214,Death & Taxes,Pilgrim's Paradise,Daniel Caesar,7HnkUNPrhRurdGEm9nRYFH,2015-11-12,59,305081,0.448,0.803,0.328,9.34e-05,0.347,0.209,-11.132,0.0351,113.941,7,3
172,216,Wild Irish Roses,blkswn,Smino,6efkcs2aUBMFKxl0cl2JWQ,2017-03-14,67,169319,0.639,0.554,0.295,3.09e-05,0.3,0.634,-11.237,0.544,86.947,0,4
173,217,Caretaker (feat. SZA),Gahdamn!,Shelley FKA DRAM,4XQQovRSltOGWevTCgacXY,2015-10-23,58,171373,0.614,0.78,0.275,0.0,0.119,0.165,-12.804,0.186,130.664,2,4
174,218,Amphetamine,blkswn,Smino,3Zau3JcrZcBfw8aVjKGkSX,2017-03-14,63,469830,0.619,0.715,0.532,1.33e-05,0.0953,0.401,-9.554,0.515,120.019,5,4
175,219,Here (feat. Xavier Omär),Free Your Soul: Side A (Deluxe Version),Asaiah Ziv,5oy4VFaAESEx7z45Oy0eXE,2016-06-09,37,196650,0.495,0.556,0.577,0.0,0.172,0.439,-6.097,0.879,192.021,9,4
176,221,All the Time,All the Time,Souly Had,6fnogme1RNJKay9aCJNJaa,2017-02-22,51,177855,0.589,0.322,0.313,0.0,0.105,0.0905,-10.001,0.137,164.573,0,3
177,222,Might Be,Venice,Anderson .Paak,2WlOO5UM3eoEQt7Z2z3PU1,2014-10-28,55,237165,0.684,0.357,0.585,1.23e-06,0.728,0.335,-7.601,0.0712,148.507,2,4
178,223,Lock It Up (feat. Kehlani),"Only The Poets Mixtape, Vol. 1",Marc E. Bassy,6uT9XRrPvimLt62FNjMNBv,2014-07-29,46,226220,0.738,0.653,0.443,0.0,0.103,0.687,-9.614,0.0707,127.084,5,4
179,224,Lush,Peak,Choker,4vZcsZnmpZ0GAISQon0TvU,2017-05-06,31,324000,0.445,0.954,0.322,0.0,0.0975,0.275,-11.016,0.0624,69.442,8,4
180,226,Stay,The Divine Feminine,Mac Miller,4brX8MJs5hxErgq48f9REO,2016-09-16,66,326426,0.742,0.566,0.561,0.000135,0.641,0.55,-7.017,0.139,134.01,6,4
181,227,Moonlight in Atlanta,Moonlight in Atlanta,Russ,4vzV11MKDc82D9r1YV61MQ,2016-01-15,59,163500,0.514,0.891,0.32,0.0,0.0977,0.236,-9.669,0.144,76.916,9,4
182,228,Herside Story,At What Cost,GoldLink,564oa00vY05d1uYnTEAAmE,2017-03-24,63,183760,0.885,0.656,0.595,4.42e-06,0.105,0.754,-5.487,0.286,148.034,7,4
183,229,To the Moon,Yours Truly Forever,Phora,6Umac95Mt46VcwAM9s9mOa,2017-08-18,63,252320,0.54,0.624,0.572,0.0,0.14,0.43,-8.665,0.115,82.562,9,3
184,231,The Need to Know (feat. SZA),The Album About Nothing,Wale,6KacmqPPQ3LNoiGFuqGChs,2015-03-31,65,216831,0.537,0.487,0.411,9.21e-06,0.3,0.207,-14.059,0.502,94.292,7,4
185,232,Good Days,Good Days,SZA,3YJJjQPAbDT7mGpX3WtQ9A,2020-12-25,83,279204,0.436,0.499,0.655,8.1e-06,0.688,0.412,-8.37,0.0583,121.002,1,4
186,233,Pretty Little Birds (feat. Isaiah Rashad),Ctrl,SZA,1IgePMOW0qEe1AViWgkal9,2017-06-09,60,245946,0.362,0.223,0.518,0.00314,0.316,0.348,-7.687,0.306,89.667,1,4
187,234,The Mission,The Mission,Bakar,4CGORuRtjSK6xMy8s1VvSS,2021-08-19,61,191478,0.708,0.188,0.437,0.0,0.0976,0.393,-6.982,0.0807,94.053,10,4
